user_id,days_since_last_purchase,purchase_day_frequency,purchase_count,R_score,F_score,M_score,R_level,F_level,M_level,rfm_type,purchase_days,avg_days_per_purchase_day,last_purchase_time,survey_end_time,hours_since_last_purchase,total_behavior_count,distinct_purchase_item_count,purchase_rate,total_purchase_count
134658,6.0,0.0645,2,2.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-12 11:00:00,2014-12-18 23:00:00,156.0,,,,
151617,0.0,0.4516,29,5.0,5.0,5.0,高,高,高,重要价值用户,14,2.21,2014-12-18 21:00:00,2014-12-18 23:00:00,2.0,1969.0,28.0,0.0147,29.0
156608,18.0,0.129,9,1.0,2.0,3.0,低,低,高,一般发展用户,4,7.75,2014-11-30 19:00:00,2014-12-18 23:00:00,436.0,,,,
157097,5.0,0.2903,15,3.0,5.0,4.0,低,高,高,重要保持用户,9,3.44,2014-12-13 10:00:00,2014-12-18 23:00:00,133.0,,,,
189833,2.0,0.2581,26,4.0,4.0,5.0,高,高,高,重要价值用户,8,3.88,2014-12-16 14:00:00,2014-12-18 23:00:00,57.0,,,,
190327,10.0,0.1613,7,1.0,3.0,3.0,低,高,高,重要保持用户,5,6.2,2014-12-08 16:00:00,2014-12-18 23:00:00,247.0,,,,
191366,5.0,0.0645,2,3.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-13 20:00:00,2014-12-18 23:00:00,123.0,,,,
213655,1.0,0.3226,15,5.0,5.0,4.0,高,高,高,重要价值用户,10,3.1,2014-12-17 12:00:00,2014-12-18 23:00:00,35.0,,,,
217996,6.0,0.0323,2,2.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-12 11:00:00,2014-12-18 23:00:00,156.0,,,,
227293,0.0,0.0968,8,5.0,2.0,3.0,高,低,高,重要发展用户,3,10.33,2014-12-18 21:00:00,2014-12-18 23:00:00,2.0,,,,
230711,1.0,0.2258,13,5.0,4.0,4.0,高,高,高,重要价值用户,7,4.43,2014-12-17 15:00:00,2014-12-18 23:00:00,32.0,,,,
239485,5.0,0.1613,8,3.0,3.0,3.0,低,高,高,重要保持用户,5,6.2,2014-12-13 10:00:00,2014-12-18 23:00:00,133.0,,,,
247543,1.0,0.2903,23,5.0,5.0,5.0,高,高,高,重要价值用户,9,3.44,2014-12-17 09:00:00,2014-12-18 23:00:00,38.0,,,,
250843,5.0,0.2903,28,3.0,5.0,5.0,低,高,高,重要保持用户,9,3.44,2014-12-13 21:00:00,2014-12-18 23:00:00,122.0,,,,
263670,10.0,0.0323,1,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-08 13:00:00,2014-12-18 23:00:00,250.0,,,,
337191,6.0,0.0968,4,2.0,2.0,2.0,低,低,低,低价值用户,3,10.33,2014-12-12 22:00:00,2014-12-18 23:00:00,145.0,,,,
355287,6.0,0.0968,4,2.0,2.0,2.0,低,低,低,低价值用户,3,10.33,2014-12-12 00:00:00,2014-12-18 23:00:00,167.0,,,,
365699,5.0,0.0645,3,3.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-13 22:00:00,2014-12-18 23:00:00,121.0,,,,
397142,5.0,0.0968,4,3.0,2.0,2.0,低,低,低,低价值用户,3,10.33,2014-12-13 11:00:00,2014-12-18 23:00:00,132.0,,,,
413178,24.0,0.129,5,1.0,2.0,2.0,低,低,低,低价值用户,4,7.75,2014-11-24 10:00:00,2014-12-18 23:00:00,589.0,,,,
414388,0.0,0.2258,15,5.0,4.0,4.0,高,高,高,重要价值用户,7,4.43,2014-12-18 10:00:00,2014-12-18 23:00:00,13.0,,,,
418175,3.0,0.2581,17,3.0,4.0,4.0,低,高,高,重要保持用户,8,3.88,2014-12-15 15:00:00,2014-12-18 23:00:00,80.0,,,,
429994,1.0,0.2258,9,5.0,4.0,3.0,高,高,高,重要价值用户,7,4.43,2014-12-17 13:00:00,2014-12-18 23:00:00,34.0,,,,
432337,2.0,0.1613,6,4.0,3.0,2.0,高,高,低,重要潜力用户,5,6.2,2014-12-16 18:00:00,2014-12-18 23:00:00,53.0,,,,
450683,6.0,0.0645,3,2.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-12 13:00:00,2014-12-18 23:00:00,154.0,,,,
475826,1.0,0.5806,110,5.0,5.0,5.0,高,高,高,重要价值用户,18,1.72,2014-12-17 21:00:00,2014-12-18 23:00:00,26.0,7004.0,77.0,0.0157,110.0
483640,4.0,0.1613,14,3.0,3.0,4.0,低,高,高,重要保持用户,5,6.2,2014-12-14 13:00:00,2014-12-18 23:00:00,106.0,,,,
493013,19.0,0.0645,11,1.0,1.0,3.0,低,低,高,一般发展用户,2,15.5,2014-11-29 01:00:00,2014-12-18 23:00:00,478.0,,,,
497764,0.0,0.129,12,5.0,2.0,4.0,高,低,高,重要发展用户,4,7.75,2014-12-18 20:00:00,2014-12-18 23:00:00,3.0,,,,
501286,0.0,0.2258,15,5.0,4.0,4.0,高,高,高,重要价值用户,7,4.43,2014-12-18 21:00:00,2014-12-18 23:00:00,2.0,,,,
511319,0.0,0.0968,6,5.0,2.0,2.0,高,低,低,一般价值用户,3,10.33,2014-12-18 16:00:00,2014-12-18 23:00:00,7.0,,,,
521437,6.0,0.129,24,2.0,2.0,5.0,低,低,高,一般发展用户,4,7.75,2014-12-12 22:00:00,2014-12-18 23:00:00,145.0,,,,
565533,10.0,0.2903,15,1.0,5.0,4.0,低,高,高,重要保持用户,9,3.44,2014-12-08 23:00:00,2014-12-18 23:00:00,240.0,,,,
567790,14.0,0.0323,2,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-04 20:00:00,2014-12-18 23:00:00,339.0,,,,
568881,4.0,0.0323,1,3.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-14 09:00:00,2014-12-18 23:00:00,110.0,,,,
608951,3.0,0.129,5,3.0,2.0,2.0,低,低,低,低价值用户,4,7.75,2014-12-15 13:00:00,2014-12-18 23:00:00,82.0,,,,
611920,2.0,0.2258,12,4.0,4.0,4.0,高,高,高,重要价值用户,7,4.43,2014-12-16 09:00:00,2014-12-18 23:00:00,62.0,,,,
632347,6.0,0.3871,55,2.0,5.0,5.0,低,高,高,重要保持用户,12,2.58,2014-12-12 23:00:00,2014-12-18 23:00:00,144.0,2474.0,43.0,0.0222,55.0
678552,24.0,0.0323,1,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-11-24 20:00:00,2014-12-18 23:00:00,579.0,,,,
704891,0.0,0.3548,26,5.0,5.0,5.0,高,高,高,重要价值用户,11,2.82,2014-12-18 22:00:00,2014-12-18 23:00:00,1.0,,,,
742065,6.0,0.129,4,2.0,2.0,2.0,低,低,低,低价值用户,4,7.75,2014-12-12 08:00:00,2014-12-18 23:00:00,159.0,,,,
754205,2.0,0.129,38,4.0,2.0,5.0,高,低,高,重要发展用户,4,7.75,2014-12-16 12:00:00,2014-12-18 23:00:00,59.0,1060.0,21.0,0.0358,38.0
790713,6.0,0.2903,11,2.0,5.0,3.0,低,高,高,重要保持用户,9,3.44,2014-12-12 20:00:00,2014-12-18 23:00:00,147.0,,,,
801018,2.0,0.2258,10,4.0,4.0,3.0,高,高,高,重要价值用户,7,4.43,2014-12-16 19:00:00,2014-12-18 23:00:00,52.0,,,,
807106,0.0,0.4839,57,5.0,5.0,5.0,高,高,高,重要价值用户,15,2.07,2014-12-18 21:00:00,2014-12-18 23:00:00,2.0,1426.0,18.0,0.04,57.0
814199,5.0,0.1613,22,3.0,3.0,5.0,低,高,高,重要保持用户,5,6.2,2014-12-13 20:00:00,2014-12-18 23:00:00,123.0,,,,
819192,19.0,0.0323,1,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-11-29 14:00:00,2014-12-18 23:00:00,465.0,,,,
819791,3.0,0.0645,3,3.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-15 16:00:00,2014-12-18 23:00:00,79.0,,,,
867381,0.0,0.4839,37,5.0,5.0,5.0,高,高,高,重要价值用户,15,2.07,2014-12-18 19:00:00,2014-12-18 23:00:00,4.0,5794.0,33.0,0.0064,37.0
876192,3.0,0.2903,22,3.0,5.0,5.0,低,高,高,重要保持用户,9,3.44,2014-12-15 15:00:00,2014-12-18 23:00:00,80.0,,,,
914729,1.0,0.0968,7,5.0,2.0,3.0,高,低,高,重要发展用户,3,10.33,2014-12-17 08:00:00,2014-12-18 23:00:00,39.0,,,,
943095,26.0,0.0323,1,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-11-22 09:00:00,2014-12-18 23:00:00,638.0,,,,
985207,15.0,0.0968,4,1.0,2.0,2.0,低,低,低,低价值用户,3,10.33,2014-12-03 21:00:00,2014-12-18 23:00:00,362.0,,,,
991563,2.0,0.3548,22,4.0,5.0,5.0,高,高,高,重要价值用户,11,2.82,2014-12-16 12:00:00,2014-12-18 23:00:00,59.0,,,,
1019952,1.0,0.2581,9,5.0,4.0,3.0,高,高,高,重要价值用户,8,3.88,2014-12-17 10:00:00,2014-12-18 23:00:00,37.0,,,,
1022699,4.0,0.2903,25,3.0,5.0,5.0,低,高,高,重要保持用户,9,3.44,2014-12-14 11:00:00,2014-12-18 23:00:00,108.0,,,,
1022919,4.0,0.0968,5,3.0,2.0,2.0,低,低,低,低价值用户,3,10.33,2014-12-14 12:00:00,2014-12-18 23:00:00,107.0,,,,
1030408,5.0,0.1935,10,3.0,3.0,3.0,低,高,高,重要保持用户,6,5.17,2014-12-13 20:00:00,2014-12-18 23:00:00,123.0,,,,
1034452,1.0,0.0323,1,5.0,1.0,1.0,高,低,低,一般价值用户,1,31.0,2014-12-17 12:00:00,2014-12-18 23:00:00,35.0,,,,
1041761,2.0,0.129,6,4.0,2.0,2.0,高,低,低,一般价值用户,4,7.75,2014-12-16 18:00:00,2014-12-18 23:00:00,53.0,,,,
1050684,2.0,0.2258,9,4.0,4.0,3.0,高,高,高,重要价值用户,7,4.43,2014-12-16 09:00:00,2014-12-18 23:00:00,62.0,,,,
1053725,6.0,0.0968,7,2.0,2.0,3.0,低,低,高,一般发展用户,3,10.33,2014-12-12 17:00:00,2014-12-18 23:00:00,150.0,,,,
1067578,3.0,0.1935,7,3.0,3.0,3.0,低,高,高,重要保持用户,6,5.17,2014-12-15 18:00:00,2014-12-18 23:00:00,77.0,,,,
1081595,24.0,0.0323,1,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-11-24 15:00:00,2014-12-18 23:00:00,584.0,,,,
1091123,0.0,0.4516,23,5.0,5.0,5.0,高,高,高,重要价值用户,14,2.21,2014-12-18 11:00:00,2014-12-18 23:00:00,12.0,,,,
1105998,6.0,0.0645,2,2.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-12 21:00:00,2014-12-18 23:00:00,146.0,,,,
1112140,4.0,0.0968,3,3.0,2.0,1.0,低,低,低,低价值用户,3,10.33,2014-12-14 11:00:00,2014-12-18 23:00:00,108.0,,,,
1128409,1.0,0.1935,16,5.0,3.0,4.0,高,高,高,重要价值用户,6,5.17,2014-12-17 12:00:00,2014-12-18 23:00:00,35.0,,,,
1137672,1.0,0.1935,26,5.0,3.0,5.0,高,高,高,重要价值用户,6,5.17,2014-12-17 10:00:00,2014-12-18 23:00:00,37.0,,,,
1156843,6.0,0.129,12,2.0,2.0,4.0,低,低,高,一般发展用户,4,7.75,2014-12-12 10:00:00,2014-12-18 23:00:00,157.0,,,,
1160607,0.0,0.4516,60,5.0,5.0,5.0,高,高,高,重要价值用户,14,2.21,2014-12-18 20:00:00,2014-12-18 23:00:00,3.0,4800.0,52.0,0.0125,60.0
1182380,4.0,0.1935,10,3.0,3.0,3.0,低,高,高,重要保持用户,6,5.17,2014-12-14 19:00:00,2014-12-18 23:00:00,100.0,,,,
1183504,0.0,0.4839,36,5.0,5.0,5.0,高,高,高,重要价值用户,15,2.07,2014-12-18 13:00:00,2014-12-18 23:00:00,10.0,2937.0,35.0,0.0123,36.0
1188241,0.0,0.3548,22,5.0,5.0,5.0,高,高,高,重要价值用户,11,2.82,2014-12-18 14:00:00,2014-12-18 23:00:00,9.0,,,,
1206079,14.0,0.129,19,1.0,2.0,4.0,低,低,高,一般发展用户,4,7.75,2014-12-04 12:00:00,2014-12-18 23:00:00,347.0,,,,
1211225,2.0,0.1613,8,4.0,3.0,3.0,高,高,高,重要价值用户,5,6.2,2014-12-16 11:00:00,2014-12-18 23:00:00,60.0,,,,
1257131,5.0,0.2258,17,3.0,4.0,4.0,低,高,高,重要保持用户,7,4.43,2014-12-13 09:00:00,2014-12-18 23:00:00,134.0,,,,
1259845,6.0,0.3226,25,2.0,5.0,5.0,低,高,高,重要保持用户,10,3.1,2014-12-12 17:00:00,2014-12-18 23:00:00,150.0,,,,
1272577,1.0,0.1935,6,5.0,3.0,2.0,高,高,低,重要潜力用户,6,5.17,2014-12-17 19:00:00,2014-12-18 23:00:00,28.0,,,,
1275653,12.0,0.1613,7,1.0,3.0,3.0,低,高,高,重要保持用户,5,6.2,2014-12-06 11:00:00,2014-12-18 23:00:00,300.0,,,,
1334962,3.0,0.129,15,3.0,2.0,4.0,低,低,高,一般发展用户,4,7.75,2014-12-15 19:00:00,2014-12-18 23:00:00,76.0,,,,
1344672,12.0,0.0323,1,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-06 16:00:00,2014-12-18 23:00:00,295.0,,,,
1364464,4.0,0.1613,5,3.0,3.0,2.0,低,高,低,一般保持用户,5,6.2,2014-12-14 10:00:00,2014-12-18 23:00:00,109.0,,,,
1399592,21.0,0.0323,10,1.0,1.0,3.0,低,低,高,一般发展用户,1,31.0,2014-11-27 17:00:00,2014-12-18 23:00:00,510.0,,,,
1409005,1.0,0.3871,59,5.0,5.0,5.0,高,高,高,重要价值用户,12,2.58,2014-12-17 15:00:00,2014-12-18 23:00:00,32.0,1272.0,57.0,0.0464,59.0
1421162,4.0,0.0968,4,3.0,2.0,2.0,低,低,低,低价值用户,3,10.33,2014-12-14 11:00:00,2014-12-18 23:00:00,108.0,,,,
1439794,6.0,0.0323,5,2.0,1.0,2.0,低,低,低,低价值用户,1,31.0,2014-12-12 22:00:00,2014-12-18 23:00:00,145.0,,,,
1485361,0.0,0.2903,16,5.0,5.0,4.0,高,高,高,重要价值用户,9,3.44,2014-12-18 13:00:00,2014-12-18 23:00:00,10.0,,,,
1486585,13.0,0.1613,7,1.0,3.0,3.0,低,高,高,重要保持用户,5,6.2,2014-12-05 12:00:00,2014-12-18 23:00:00,323.0,,,,
1498131,6.0,0.0645,2,2.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-12 00:00:00,2014-12-18 23:00:00,167.0,,,,
1532868,6.0,0.129,9,2.0,2.0,3.0,低,低,高,一般发展用户,4,7.75,2014-12-12 20:00:00,2014-12-18 23:00:00,147.0,,,,
1533885,1.0,0.1935,9,5.0,3.0,3.0,高,高,高,重要价值用户,6,5.17,2014-12-17 10:00:00,2014-12-18 23:00:00,37.0,,,,
1535240,6.0,0.0323,1,2.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-12 11:00:00,2014-12-18 23:00:00,156.0,,,,
1553407,4.0,0.0323,1,3.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-14 10:00:00,2014-12-18 23:00:00,109.0,,,,
1588502,2.0,0.0645,4,4.0,1.0,2.0,高,低,低,一般价值用户,2,15.5,2014-12-16 21:00:00,2014-12-18 23:00:00,50.0,,,,
1593616,5.0,0.1613,5,3.0,3.0,2.0,低,高,低,一般保持用户,5,6.2,2014-12-13 16:00:00,2014-12-18 23:00:00,127.0,,,,
1619789,2.0,0.129,4,4.0,2.0,2.0,高,低,低,一般价值用户,4,7.75,2014-12-16 22:00:00,2014-12-18 23:00:00,49.0,,,,
1666891,0.0,0.0323,2,5.0,1.0,1.0,高,低,低,一般价值用户,1,31.0,2014-12-18 21:00:00,2014-12-18 23:00:00,2.0,,,,
1673252,1.0,0.2258,10,5.0,4.0,3.0,高,高,高,重要价值用户,7,4.43,2014-12-17 16:00:00,2014-12-18 23:00:00,31.0,,,,
1704058,4.0,0.129,4,3.0,2.0,2.0,低,低,低,低价值用户,4,7.75,2014-12-14 21:00:00,2014-12-18 23:00:00,98.0,,,,
1724469,6.0,0.0323,1,2.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-12 11:00:00,2014-12-18 23:00:00,156.0,,,,
1725399,0.0,0.3548,55,5.0,5.0,5.0,高,高,高,重要价值用户,11,2.82,2014-12-18 22:00:00,2014-12-18 23:00:00,1.0,2265.0,35.0,0.0243,55.0
1760140,9.0,0.0645,2,2.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-09 10:00:00,2014-12-18 23:00:00,229.0,,,,
1769128,4.0,0.2581,11,3.0,4.0,3.0,低,高,高,重要保持用户,8,3.88,2014-12-14 15:00:00,2014-12-18 23:00:00,104.0,,,,
1799885,0.0,0.2258,8,5.0,4.0,3.0,高,高,高,重要价值用户,7,4.43,2014-12-18 19:00:00,2014-12-18 23:00:00,4.0,,,,
1805148,6.0,0.2258,8,2.0,4.0,3.0,低,高,高,重要保持用户,7,4.43,2014-12-12 15:00:00,2014-12-18 23:00:00,152.0,,,,
1805740,0.0,0.4194,23,5.0,5.0,5.0,高,高,高,重要价值用户,13,2.38,2014-12-18 21:00:00,2014-12-18 23:00:00,2.0,,,,
1806084,0.0,0.1613,17,5.0,3.0,4.0,高,高,高,重要价值用户,5,6.2,2014-12-18 13:00:00,2014-12-18 23:00:00,10.0,,,,
1820303,13.0,0.0323,1,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-05 21:00:00,2014-12-18 23:00:00,314.0,,,,
1824572,10.0,0.0645,36,1.0,1.0,5.0,低,低,高,一般发展用户,2,15.5,2014-12-08 18:00:00,2014-12-18 23:00:00,245.0,992.0,21.0,0.0363,36.0
1825186,1.0,0.129,19,5.0,2.0,4.0,高,低,高,重要发展用户,4,7.75,2014-12-17 16:00:00,2014-12-18 23:00:00,31.0,,,,
1834928,0.0,0.4516,29,5.0,5.0,5.0,高,高,高,重要价值用户,14,2.21,2014-12-18 13:00:00,2014-12-18 23:00:00,10.0,1863.0,27.0,0.0156,29.0
1857066,1.0,0.4516,56,5.0,5.0,5.0,高,高,高,重要价值用户,14,2.21,2014-12-17 01:00:00,2014-12-18 23:00:00,46.0,1909.0,43.0,0.0293,56.0
1866742,4.0,0.1935,7,3.0,3.0,3.0,低,高,高,重要保持用户,6,5.17,2014-12-14 20:00:00,2014-12-18 23:00:00,99.0,,,,
1897583,6.0,0.0968,4,2.0,2.0,2.0,低,低,低,低价值用户,3,10.33,2014-12-12 10:00:00,2014-12-18 23:00:00,157.0,,,,
1926899,0.0,0.4516,101,5.0,5.0,5.0,高,高,高,重要价值用户,14,2.21,2014-12-18 15:00:00,2014-12-18 23:00:00,8.0,6311.0,82.0,0.016,101.0
1944583,20.0,0.129,7,1.0,2.0,3.0,低,低,高,一般发展用户,4,7.75,2014-11-28 14:00:00,2014-12-18 23:00:00,489.0,,,,
1963813,4.0,0.1613,10,3.0,3.0,3.0,低,高,高,重要保持用户,5,6.2,2014-12-14 12:00:00,2014-12-18 23:00:00,107.0,,,,
1985644,4.0,0.1613,9,3.0,3.0,3.0,低,高,高,重要保持用户,5,6.2,2014-12-14 14:00:00,2014-12-18 23:00:00,105.0,,,,
2003464,3.0,0.3871,24,3.0,5.0,5.0,低,高,高,重要保持用户,12,2.58,2014-12-15 16:00:00,2014-12-18 23:00:00,79.0,,,,
2010204,9.0,0.0968,4,2.0,2.0,2.0,低,低,低,低价值用户,3,10.33,2014-12-09 06:00:00,2014-12-18 23:00:00,233.0,,,,
2045844,0.0,0.129,8,5.0,2.0,3.0,高,低,高,重要发展用户,4,7.75,2014-12-18 11:00:00,2014-12-18 23:00:00,12.0,,,,
2077849,20.0,0.0323,2,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-11-28 18:00:00,2014-12-18 23:00:00,485.0,,,,
2079867,6.0,0.1935,22,2.0,3.0,5.0,低,高,高,重要保持用户,6,5.17,2014-12-12 12:00:00,2014-12-18 23:00:00,155.0,,,,
2083985,5.0,0.0645,2,3.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-13 17:00:00,2014-12-18 23:00:00,126.0,,,,
2092395,6.0,0.0323,1,2.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-12 16:00:00,2014-12-18 23:00:00,151.0,,,,
2097413,0.0,0.3226,11,5.0,5.0,3.0,高,高,高,重要价值用户,10,3.1,2014-12-18 18:00:00,2014-12-18 23:00:00,5.0,,,,
2099277,21.0,0.0645,2,1.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-11-27 16:00:00,2014-12-18 23:00:00,511.0,,,,
2103285,0.0,0.2581,16,5.0,4.0,4.0,高,高,高,重要价值用户,8,3.88,2014-12-18 15:00:00,2014-12-18 23:00:00,8.0,,,,
2103722,6.0,0.1613,8,2.0,3.0,3.0,低,高,高,重要保持用户,5,6.2,2014-12-12 15:00:00,2014-12-18 23:00:00,152.0,,,,
2112922,9.0,0.0323,2,2.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-09 22:00:00,2014-12-18 23:00:00,217.0,,,,
2120923,6.0,0.129,11,2.0,2.0,3.0,低,低,高,一般发展用户,4,7.75,2014-12-12 23:00:00,2014-12-18 23:00:00,144.0,,,,
2128246,6.0,0.129,14,2.0,2.0,4.0,低,低,高,一般发展用户,4,7.75,2014-12-12 14:00:00,2014-12-18 23:00:00,153.0,,,,
2131753,2.0,0.3548,24,4.0,5.0,5.0,高,高,高,重要价值用户,11,2.82,2014-12-16 15:00:00,2014-12-18 23:00:00,56.0,,,,
2139347,6.0,0.0645,2,2.0,1.0,1.0,低,低,低,低价值用户,2,15.5,2014-12-12 15:00:00,2014-12-18 23:00:00,152.0,,,,
2165371,8.0,0.0645,5,2.0,1.0,2.0,低,低,低,低价值用户,2,15.5,2014-12-10 12:00:00,2014-12-18 23:00:00,203.0,,,,
2172795,0.0,0.4194,23,5.0,5.0,5.0,高,高,高,重要价值用户,13,2.38,2014-12-18 12:00:00,2014-12-18 23:00:00,11.0,,,,
2183798,13.0,0.1613,6,1.0,3.0,2.0,低,高,低,一般保持用户,5,6.2,2014-12-05 22:00:00,2014-12-18 23:00:00,313.0,,,,
2196875,4.0,0.0968,3,3.0,2.0,1.0,低,低,低,低价值用户,3,10.33,2014-12-14 15:00:00,2014-12-18 23:00:00,104.0,,,,
2227874,5.0,0.2258,10,3.0,4.0,3.0,低,高,高,重要保持用户,7,4.43,2014-12-13 17:00:00,2014-12-18 23:00:00,126.0,,,,
2242451,0.0,0.0323,1,5.0,1.0,1.0,高,低,低,一般价值用户,1,31.0,2014-12-18 10:00:00,2014-12-18 23:00:00,13.0,,,,
2242773,8.0,0.2581,11,2.0,4.0,3.0,低,高,高,重要保持用户,8,3.88,2014-12-10 16:00:00,2014-12-18 23:00:00,199.0,,,,
2256395,4.0,0.0968,6,3.0,2.0,2.0,低,低,低,低价值用户,3,10.33,2014-12-14 18:00:00,2014-12-18 23:00:00,101.0,,,,
2267344,1.0,0.2903,14,5.0,5.0,4.0,高,高,高,重要价值用户,9,3.44,2014-12-17 14:00:00,2014-12-18 23:00:00,33.0,,,,
2272401,19.0,0.0323,1,1.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-11-29 15:00:00,2014-12-18 23:00:00,464.0,,,,
2283337,6.0,0.4194,36,2.0,5.0,5.0,低,高,高,重要保持用户,13,2.38,2014-12-12 22:00:00,2014-12-18 23:00:00,145.0,1416.0,32.0,0.0254,36.0
2302002,1.0,0.2258,39,5.0,4.0,5.0,高,高,高,重要价值用户,7,4.43,2014-12-17 21:00:00,2014-12-18 23:00:00,26.0,1081.0,36.0,0.0361,39.0
2319819,0.0,0.2903,17,5.0,5.0,4.0,高,高,高,重要价值用户,9,3.44,2014-12-18 22:00:00,2014-12-18 23:00:00,1.0,,,,
2338844,5.0,0.0323,1,3.0,1.0,1.0,低,低,低,低价值用户,1,31.0,2014-12-13 21:00:00,2014-12-18 23:00:00,122.0,,,,
2352151,2.0,0.129,4,4.0,2.0,2.0,高,低,低,一般价值用户,4,7.75,2014-12-16 19:00:00,2014-12-18 23:00:00,52.0,,,,
2357844,5.0,0.3226,20,3.0,5.0,4.0,低,高,高,重要保持用户,10,3.1,2014-12-13 21:00:00,2014-12-18 23:00:00,122.0,,,,
2364046,6.0,0.2258,17,2.0,4.0,4.0,低,高,高,重要保持用户,7,4.43,2014-12-12 18:00:00,2014-12-18 23:00:00,149.0,,,,
2364863,17.0,0.0645,4,1.0,1.0,2.0,低,低,低,低价值用户,2,15.5,2014-12-01 16:00:00,2014-12-18 23:00:00,415.0,,,,
2379445,1.0,0.1935,11,5.0,3.0,3.0,高,高,高,重要价值用户,6,5.17,2014-12-17 21:00:00,2014-12-18 23:00:00,26.0,,,,
2400099,0.0,0.2581,18,5.0,4.0,4.0,高,高,高,重要价值用户,8,3.88,2014-12-18 22:00:00,2014-12-18 23:00:00,1.0,,,,
