user_id,total_behavior_count,purchase_count,distinct_purchase_item_count,purchase_rate,purchase_days,avg_days_per_purchase_day,purchase_day_frequency,last_purchase_time,survey_end_time,hours_since_last_purchase,days_since_last_purchase
908290,75,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
914729,341,7,7,0.0205,3,10.33,0.0968,"2014-12-17 08:00:00","2014-12-18 23:00:00",39,1
943095,224,1,1,0.0045,1,31.00,0.0323,"2014-11-22 09:00:00","2014-12-18 23:00:00",638,26
985207,802,4,4,0.0050,3,10.33,0.0968,"2014-12-03 21:00:00","2014-12-18 23:00:00",362,15
991563,2421,22,20,0.0091,11,2.82,0.3548,"2014-12-16 12:00:00","2014-12-18 23:00:00",59,2
1019952,1373,9,8,0.0066,8,3.88,0.2581,"2014-12-17 10:00:00","2014-12-18 23:00:00",37,1
1022699,1567,25,24,0.0160,9,3.44,0.2903,"2014-12-14 11:00:00","2014-12-18 23:00:00",108,4
1022919,665,5,3,0.0075,3,10.33,0.0968,"2014-12-14 12:00:00","2014-12-18 23:00:00",107,4
1030408,1836,10,7,0.0054,6,5.17,0.1935,"2014-12-13 20:00:00","2014-12-18 23:00:00",123,5
1034452,81,1,1,0.0123,1,31.00,0.0323,"2014-12-17 12:00:00","2014-12-18 23:00:00",35,1
1041761,2771,6,5,0.0022,4,7.75,0.1290,"2014-12-16 18:00:00","2014-12-18 23:00:00",53,2
1050684,557,9,6,0.0162,7,4.43,0.2258,"2014-12-16 09:00:00","2014-12-18 23:00:00",62,2
1053725,1801,7,7,0.0039,3,10.33,0.0968,"2014-12-12 17:00:00","2014-12-18 23:00:00",150,6
1067578,305,7,7,0.0230,6,5.17,0.1935,"2014-12-15 18:00:00","2014-12-18 23:00:00",77,3
1074982,201,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1081595,300,1,1,0.0033,1,31.00,0.0323,"2014-11-24 15:00:00","2014-12-18 23:00:00",584,24
1091123,2431,23,22,0.0095,14,2.21,0.4516,"2014-12-18 11:00:00","2014-12-18 23:00:00",12,0
1105998,534,2,2,0.0037,2,15.50,0.0645,"2014-12-12 21:00:00","2014-12-18 23:00:00",146,6
1112140,487,3,3,0.0062,3,10.33,0.0968,"2014-12-14 11:00:00","2014-12-18 23:00:00",108,4
1128409,589,16,16,0.0272,6,5.17,0.1935,"2014-12-17 12:00:00","2014-12-18 23:00:00",35,1
1128799,10,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1137672,1358,26,25,0.0191,6,5.17,0.1935,"2014-12-17 10:00:00","2014-12-18 23:00:00",37,1
1156843,2334,12,12,0.0051,4,7.75,0.1290,"2014-12-12 10:00:00","2014-12-18 23:00:00",157,6
1160607,4800,60,52,0.0125,14,2.21,0.4516,"2014-12-18 20:00:00","2014-12-18 23:00:00",3,0
1182380,575,10,9,0.0174,6,5.17,0.1935,"2014-12-14 19:00:00","2014-12-18 23:00:00",100,4
1183504,2937,36,35,0.0123,15,2.07,0.4839,"2014-12-18 13:00:00","2014-12-18 23:00:00",10,0
1188241,1039,22,21,0.0212,11,2.82,0.3548,"2014-12-18 14:00:00","2014-12-18 23:00:00",9,0
1206079,364,19,12,0.0522,4,7.75,0.1290,"2014-12-04 12:00:00","2014-12-18 23:00:00",347,14
1211225,393,8,6,0.0204,5,6.20,0.1613,"2014-12-16 11:00:00","2014-12-18 23:00:00",60,2
1257131,988,17,15,0.0172,7,4.43,0.2258,"2014-12-13 09:00:00","2014-12-18 23:00:00",134,5
1259845,1052,25,18,0.0238,10,3.10,0.3226,"2014-12-12 17:00:00","2014-12-18 23:00:00",150,6
1272577,523,6,6,0.0115,6,5.17,0.1935,"2014-12-17 19:00:00","2014-12-18 23:00:00",28,1
1275653,323,7,7,0.0217,5,6.20,0.1613,"2014-12-06 11:00:00","2014-12-18 23:00:00",300,12
1334962,332,15,8,0.0452,4,7.75,0.1290,"2014-12-15 19:00:00","2014-12-18 23:00:00",76,3
1335738,427,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1344672,60,1,1,0.0167,1,31.00,0.0323,"2014-12-06 16:00:00","2014-12-18 23:00:00",295,12
1364464,256,5,5,0.0195,5,6.20,0.1613,"2014-12-14 10:00:00","2014-12-18 23:00:00",109,4
1365073,169,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1399592,458,10,10,0.0218,1,31.00,0.0323,"2014-11-27 17:00:00","2014-12-18 23:00:00",510,21
1409005,1272,59,57,0.0464,12,2.58,0.3871,"2014-12-17 15:00:00","2014-12-18 23:00:00",32,1
1419642,3,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1421162,164,4,4,0.0244,3,10.33,0.0968,"2014-12-14 11:00:00","2014-12-18 23:00:00",108,4
1439794,256,5,5,0.0195,1,31.00,0.0323,"2014-12-12 22:00:00","2014-12-18 23:00:00",145,6
1485361,923,16,13,0.0173,9,3.44,0.2903,"2014-12-18 13:00:00","2014-12-18 23:00:00",10,0
1486585,721,7,7,0.0097,5,6.20,0.1613,"2014-12-05 12:00:00","2014-12-18 23:00:00",323,13
1498131,98,2,2,0.0204,2,15.50,0.0645,"2014-12-12 00:00:00","2014-12-18 23:00:00",167,6
1525511,344,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1532868,260,9,9,0.0346,4,7.75,0.1290,"2014-12-12 20:00:00","2014-12-18 23:00:00",147,6
1533523,54,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1533885,392,9,7,0.0230,6,5.17,0.1935,"2014-12-17 10:00:00","2014-12-18 23:00:00",37,1
1534718,26,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1535240,269,1,1,0.0037,1,31.00,0.0323,"2014-12-12 11:00:00","2014-12-18 23:00:00",156,6
1553407,200,1,1,0.0050,1,31.00,0.0323,"2014-12-14 10:00:00","2014-12-18 23:00:00",109,4
1588051,230,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1588502,45,4,3,0.0889,2,15.50,0.0645,"2014-12-16 21:00:00","2014-12-18 23:00:00",50,2
1593616,459,5,5,0.0109,5,6.20,0.1613,"2014-12-13 16:00:00","2014-12-18 23:00:00",127,5
1604248,1054,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1619789,481,4,4,0.0083,4,7.75,0.1290,"2014-12-16 22:00:00","2014-12-18 23:00:00",49,2
1652366,90,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
1666891,207,2,2,0.0097,1,31.00,0.0323,"2014-12-18 21:00:00","2014-12-18 23:00:00",2,0
1673252,838,10,10,0.0119,7,4.43,0.2258,"2014-12-17 16:00:00","2014-12-18 23:00:00",31,1
1704058,675,4,4,0.0059,4,7.75,0.1290,"2014-12-14 21:00:00","2014-12-18 23:00:00",98,4
1724469,288,1,1,0.0035,1,31.00,0.0323,"2014-12-12 11:00:00","2014-12-18 23:00:00",156,6
1725399,2265,55,35,0.0243,11,2.82,0.3548,"2014-12-18 22:00:00","2014-12-18 23:00:00",1,0
1760140,400,2,2,0.0050,2,15.50,0.0645,"2014-12-09 10:00:00","2014-12-18 23:00:00",229,9
1769128,1654,11,9,0.0067,8,3.88,0.2581,"2014-12-14 15:00:00","2014-12-18 23:00:00",104,4
1799885,1075,8,8,0.0074,7,4.43,0.2258,"2014-12-18 19:00:00","2014-12-18 23:00:00",4,0
1805148,1506,8,8,0.0053,7,4.43,0.2258,"2014-12-12 15:00:00","2014-12-18 23:00:00",152,6
1805740,1514,23,20,0.0152,13,2.38,0.4194,"2014-12-18 21:00:00","2014-12-18 23:00:00",2,0
1806084,1200,17,8,0.0142,5,6.20,0.1613,"2014-12-18 13:00:00","2014-12-18 23:00:00",10,0
1820303,62,1,1,0.0161,1,31.00,0.0323,"2014-12-05 21:00:00","2014-12-18 23:00:00",314,13
1824572,992,36,21,0.0363,2,15.50,0.0645,"2014-12-08 18:00:00","2014-12-18 23:00:00",245,10
1825186,530,19,19,0.0358,4,7.75,0.1290,"2014-12-17 16:00:00","2014-12-18 23:00:00",31,1
1834928,1863,29,27,0.0156,14,2.21,0.4516,"2014-12-18 13:00:00","2014-12-18 23:00:00",10,0
1857066,1909,56,43,0.0293,14,2.21,0.4516,"2014-12-17 01:00:00","2014-12-18 23:00:00",46,1
1866742,1793,7,7,0.0039,6,5.17,0.1935,"2014-12-14 20:00:00","2014-12-18 23:00:00",99,4
1897583,1830,4,4,0.0022,3,10.33,0.0968,"2014-12-12 10:00:00","2014-12-18 23:00:00",157,6
1926899,6311,101,82,0.0160,14,2.21,0.4516,"2014-12-18 15:00:00","2014-12-18 23:00:00",8,0
1944583,945,7,7,0.0074,4,7.75,0.1290,"2014-11-28 14:00:00","2014-12-18 23:00:00",489,20
1963813,632,10,8,0.0158,5,6.20,0.1613,"2014-12-14 12:00:00","2014-12-18 23:00:00",107,4
1985644,852,9,9,0.0106,5,6.20,0.1613,"2014-12-14 14:00:00","2014-12-18 23:00:00",105,4
2003464,2003,24,19,0.0120,12,2.58,0.3871,"2014-12-15 16:00:00","2014-12-18 23:00:00",79,3
2010204,214,4,4,0.0187,3,10.33,0.0968,"2014-12-09 06:00:00","2014-12-18 23:00:00",233,9
2045844,167,8,8,0.0479,4,7.75,0.1290,"2014-12-18 11:00:00","2014-12-18 23:00:00",12,0
2073744,325,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
2077849,52,2,2,0.0385,1,31.00,0.0323,"2014-11-28 18:00:00","2014-12-18 23:00:00",485,20
2079867,1795,22,21,0.0123,6,5.17,0.1935,"2014-12-12 12:00:00","2014-12-18 23:00:00",155,6
2083985,254,2,2,0.0079,2,15.50,0.0645,"2014-12-13 17:00:00","2014-12-18 23:00:00",126,5
2092395,297,1,1,0.0034,1,31.00,0.0323,"2014-12-12 16:00:00","2014-12-18 23:00:00",151,6
2097413,2609,11,11,0.0042,10,3.10,0.3226,"2014-12-18 18:00:00","2014-12-18 23:00:00",5,0
2099277,473,2,2,0.0042,2,15.50,0.0645,"2014-11-27 16:00:00","2014-12-18 23:00:00",511,21
2103285,1062,16,10,0.0151,8,3.88,0.2581,"2014-12-18 15:00:00","2014-12-18 23:00:00",8,0
2103722,1535,8,6,0.0052,5,6.20,0.1613,"2014-12-12 15:00:00","2014-12-18 23:00:00",152,6
2112922,534,2,2,0.0037,1,31.00,0.0323,"2014-12-09 22:00:00","2014-12-18 23:00:00",217,9
2120923,392,11,11,0.0281,4,7.75,0.1290,"2014-12-12 23:00:00","2014-12-18 23:00:00",144,6
2128246,1626,14,13,0.0086,4,7.75,0.1290,"2014-12-12 14:00:00","2014-12-18 23:00:00",153,6
2131753,2029,24,22,0.0118,11,2.82,0.3548,"2014-12-16 15:00:00","2014-12-18 23:00:00",56,2
2139347,224,2,2,0.0089,2,15.50,0.0645,"2014-12-12 15:00:00","2014-12-18 23:00:00",152,6
2165371,270,5,5,0.0185,2,15.50,0.0645,"2014-12-10 12:00:00","2014-12-18 23:00:00",203,8
2172795,2910,23,23,0.0079,13,2.38,0.4194,"2014-12-18 12:00:00","2014-12-18 23:00:00",11,0
2183798,1031,6,6,0.0058,5,6.20,0.1613,"2014-12-05 22:00:00","2014-12-18 23:00:00",313,13
2196875,1006,3,3,0.0030,3,10.33,0.0968,"2014-12-14 15:00:00","2014-12-18 23:00:00",104,4
2227874,1984,10,9,0.0050,7,4.43,0.2258,"2014-12-13 17:00:00","2014-12-18 23:00:00",126,5
2242451,196,1,1,0.0051,1,31.00,0.0323,"2014-12-18 10:00:00","2014-12-18 23:00:00",13,0
2242773,1541,11,9,0.0071,8,3.88,0.2581,"2014-12-10 16:00:00","2014-12-18 23:00:00",199,8
2256395,196,6,6,0.0306,3,10.33,0.0968,"2014-12-14 18:00:00","2014-12-18 23:00:00",101,4
2267344,1844,14,12,0.0076,9,3.44,0.2903,"2014-12-17 14:00:00","2014-12-18 23:00:00",33,1
2272401,161,1,1,0.0062,1,31.00,0.0323,"2014-11-29 15:00:00","2014-12-18 23:00:00",464,19
2283337,1416,36,32,0.0254,13,2.38,0.4194,"2014-12-12 22:00:00","2014-12-18 23:00:00",145,6
2302002,1081,39,36,0.0361,7,4.43,0.2258,"2014-12-17 21:00:00","2014-12-18 23:00:00",26,1
2319819,3303,17,16,0.0051,9,3.44,0.2903,"2014-12-18 22:00:00","2014-12-18 23:00:00",1,0
2338844,48,1,1,0.0208,1,31.00,0.0323,"2014-12-13 21:00:00","2014-12-18 23:00:00",122,5
2352151,828,4,4,0.0048,4,7.75,0.1290,"2014-12-16 19:00:00","2014-12-18 23:00:00",52,2
2357844,815,20,17,0.0245,10,3.10,0.3226,"2014-12-13 21:00:00","2014-12-18 23:00:00",122,5
2364046,2034,17,17,0.0084,7,4.43,0.2258,"2014-12-12 18:00:00","2014-12-18 23:00:00",149,6
2364863,373,4,3,0.0107,2,15.50,0.0645,"2014-12-01 16:00:00","2014-12-18 23:00:00",415,17
2379445,602,11,11,0.0183,6,5.17,0.1935,"2014-12-17 21:00:00","2014-12-18 23:00:00",26,1
2400099,1176,18,16,0.0153,8,3.88,0.2581,"2014-12-18 22:00:00","2014-12-18 23:00:00",1,0
2489487,1179,8,7,0.0068,7,4.43,0.2258,"2014-12-18 23:00:00","2014-12-18 23:00:00",0,0
2493818,916,11,11,0.0120,7,4.43,0.2258,"2014-12-17 04:00:00","2014-12-18 23:00:00",43,1
2502524,4699,5,5,0.0011,4,7.75,0.1290,"2014-12-17 09:00:00","2014-12-18 23:00:00",38,1
2510646,40,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
2527320,699,2,2,0.0029,2,15.50,0.0645,"2014-12-01 14:00:00","2014-12-18 23:00:00",417,17
2536588,1031,15,14,0.0145,10,3.10,0.3226,"2014-12-18 21:00:00","2014-12-18 23:00:00",2,0
2557196,410,3,2,0.0073,2,15.50,0.0645,"2014-12-16 20:00:00","2014-12-18 23:00:00",51,2
2588780,1518,11,10,0.0072,8,3.88,0.2581,"2014-12-17 21:00:00","2014-12-18 23:00:00",26,1
2590763,519,1,1,0.0019,1,31.00,0.0323,"2014-12-16 20:00:00","2014-12-18 23:00:00",51,2
2622091,2104,9,6,0.0043,7,4.43,0.2258,"2014-12-18 20:00:00","2014-12-18 23:00:00",3,0
2639819,1026,2,2,0.0019,2,15.50,0.0645,"2014-12-09 14:00:00","2014-12-18 23:00:00",225,9
2675166,1606,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
2683726,878,5,5,0.0057,3,10.33,0.0968,"2014-12-10 20:00:00","2014-12-18 23:00:00",195,8
2686606,1956,11,11,0.0056,3,10.33,0.0968,"2014-12-16 12:00:00","2014-12-18 23:00:00",59,2
2695854,1155,25,22,0.0216,9,3.44,0.2903,"2014-12-17 20:00:00","2014-12-18 23:00:00",27,1
2696208,114,1,1,0.0088,1,31.00,0.0323,"2014-11-25 20:00:00","2014-12-18 23:00:00",555,23
2720721,5248,21,14,0.0040,14,2.21,0.4516,"2014-12-16 16:00:00","2014-12-18 23:00:00",55,2
2742560,2569,38,35,0.0148,17,1.82,0.5484,"2014-12-14 19:00:00","2014-12-18 23:00:00",100,4
2745737,1151,15,11,0.0130,3,10.33,0.0968,"2014-12-09 01:00:00","2014-12-18 23:00:00",238,9
2751701,1692,2,2,0.0012,2,15.50,0.0645,"2014-12-16 21:00:00","2014-12-18 23:00:00",50,2
2763135,135,2,2,0.0148,1,31.00,0.0323,"2014-12-13 21:00:00","2014-12-18 23:00:00",122,5
2803672,263,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
2814416,1029,10,10,0.0097,7,4.43,0.2258,"2014-12-14 17:00:00","2014-12-18 23:00:00",102,4
2820961,2589,24,24,0.0093,13,2.38,0.4194,"2014-12-17 12:00:00","2014-12-18 23:00:00",35,1
2839379,381,4,4,0.0105,3,10.33,0.0968,"2014-12-12 15:00:00","2014-12-18 23:00:00",152,6
2845412,632,6,6,0.0095,4,7.75,0.1290,"2014-12-15 19:00:00","2014-12-18 23:00:00",76,3
2870275,805,5,5,0.0062,3,10.33,0.0968,"2014-12-16 10:00:00","2014-12-18 23:00:00",61,2
2883429,351,1,1,0.0028,1,31.00,0.0323,"2014-12-08 09:00:00","2014-12-18 23:00:00",254,10
2887948,207,2,2,0.0097,1,31.00,0.0323,"2014-11-30 13:00:00","2014-12-18 23:00:00",442,18
2896763,396,1,1,0.0025,1,31.00,0.0323,"2014-11-28 08:00:00","2014-12-18 23:00:00",495,20
2910556,1353,33,32,0.0244,14,2.21,0.4516,"2014-12-16 22:00:00","2014-12-18 23:00:00",49,2
2913602,1534,36,24,0.0235,12,2.58,0.3871,"2014-12-18 10:00:00","2014-12-18 23:00:00",13,0
2934039,527,6,5,0.0114,5,6.20,0.1613,"2014-12-16 16:00:00","2014-12-18 23:00:00",55,2
2935703,1820,19,17,0.0104,12,2.58,0.3871,"2014-12-16 18:00:00","2014-12-18 23:00:00",53,2
2950136,1059,24,22,0.0227,11,2.82,0.3548,"2014-12-16 15:00:00","2014-12-18 23:00:00",56,2
2952532,2143,19,17,0.0089,10,3.10,0.3226,"2014-12-18 21:00:00","2014-12-18 23:00:00",2,0
2967122,831,8,8,0.0096,5,6.20,0.1613,"2014-12-11 18:00:00","2014-12-18 23:00:00",173,7
2989110,994,27,15,0.0272,9,3.44,0.2903,"2014-12-17 10:00:00","2014-12-18 23:00:00",37,1
3016266,1436,11,9,0.0077,6,5.17,0.1935,"2014-12-15 14:00:00","2014-12-18 23:00:00",81,3
3063448,2697,21,20,0.0078,12,2.58,0.3871,"2014-12-18 22:00:00","2014-12-18 23:00:00",1,0
3065306,3213,11,11,0.0034,5,6.20,0.1613,"2014-12-09 12:00:00","2014-12-18 23:00:00",227,9
3066501,380,1,1,0.0026,1,31.00,0.0323,"2014-11-22 21:00:00","2014-12-18 23:00:00",626,26
3089923,638,2,2,0.0031,2,15.50,0.0645,"2014-12-15 16:00:00","2014-12-18 23:00:00",79,3
3141769,678,8,8,0.0118,6,5.17,0.1935,"2014-12-18 21:00:00","2014-12-18 23:00:00",2,0
3141933,698,6,5,0.0086,4,7.75,0.1290,"2014-12-08 10:00:00","2014-12-18 23:00:00",253,10
3162324,563,8,8,0.0142,4,7.75,0.1290,"2014-12-16 10:00:00","2014-12-18 23:00:00",61,2
3166978,1135,45,40,0.0396,14,2.21,0.4516,"2014-12-18 17:00:00","2014-12-18 23:00:00",6,0
3190957,732,9,6,0.0123,4,7.75,0.1290,"2014-12-13 23:00:00","2014-12-18 23:00:00",120,5
3191339,158,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
3192805,333,6,6,0.0180,3,10.33,0.0968,"2014-12-01 23:00:00","2014-12-18 23:00:00",408,17
3207324,114,0,0,0.0000,0,NULL,0.0000,NULL,"2014-12-18 23:00:00",NULL,NULL
