user_id,total_purchase_count,distinct_purchase_item_count,purchase_concentration,purchase_concentration_type
71883073,87,40,2.1750,少量多次型用户
123842164,649,299,2.1706,少量多次型用户
91057103,13,6,2.1667,少量多次型用户
119687214,13,6,2.1667,少量多次型用户
38556307,13,6,2.1667,少量多次型用户
48470191,13,6,2.1667,少量多次型用户
33371922,32,15,2.1333,少量多次型用户
1806084,17,8,2.1250,少量多次型用户
16755897,17,8,2.1250,少量多次型用户
105638508,17,8,2.1250,少量多次型用户
132019582,17,8,2.1250,少量多次型用户
56981425,19,9,2.1111,少量多次型用户
43660726,21,10,2.1000,少量多次型用户
82996925,54,26,2.0769,少量多次型用户
140747079,39,19,2.0526,少量多次型用户
99248296,47,23,2.0435,少量多次型用户
97389266,52,26,2.0000,少量多次型用户
119627646,42,21,2.0000,少量多次型用户
46607628,32,16,2.0000,少量多次型用户
12214179,26,13,2.0000,少量多次型用户
130317446,24,12,2.0000,少量多次型用户
131903746,18,9,2.0000,少量多次型用户
51053646,16,8,2.0000,少量多次型用户
86531384,16,8,2.0000,少量多次型用户
95448497,16,8,2.0000,少量多次型用户
104456945,16,8,2.0000,少量多次型用户
129535209,14,7,2.0000,少量多次型用户
3375066,14,7,2.0000,少量多次型用户
22378126,14,7,2.0000,少量多次型用户
100644641,12,6,2.0000,少量多次型用户
130024029,12,6,2.0000,少量多次型用户
34576265,10,5,2.0000,少量多次型用户
96454863,10,5,2.0000,少量多次型用户
118402025,10,5,2.0000,少量多次型用户
93687523,8,4,2.0000,少量多次型用户
15777503,8,4,2.0000,少量多次型用户
30638228,8,4,2.0000,少量多次型用户
31298818,8,4,2.0000,少量多次型用户
32291040,8,4,2.0000,少量多次型用户
20390004,6,3,2.0000,少量多次型用户
40607709,6,3,2.0000,少量多次型用户
56161120,6,3,2.0000,少量多次型用户
56646633,6,3,2.0000,少量多次型用户
129235379,6,3,2.0000,少量多次型用户
72016943,6,3,2.0000,少量多次型用户
119759842,6,3,2.0000,少量多次型用户
66652324,4,2,2.0000,少量多次型用户
71678956,4,2,2.0000,少量多次型用户
116888859,4,2,2.0000,少量多次型用户
120651840,4,2,2.0000,少量多次型用户
125444720,4,2,2.0000,少量多次型用户
126381859,4,2,2.0000,少量多次型用户
6931133,4,2,2.0000,少量多次型用户
28192835,4,2,2.0000,少量多次型用户
34313030,4,2,2.0000,少量多次型用户
41021470,4,2,2.0000,少量多次型用户
130265990,4,2,2.0000,少量多次型用户
130573524,4,2,2.0000,少量多次型用户
131153046,4,2,2.0000,少量多次型用户
131201465,4,2,2.0000,少量多次型用户
136576184,4,2,2.0000,少量多次型用户
137413051,4,2,2.0000,少量多次型用户
130461388,2,1,2.0000,低购买用户
135565094,2,1,2.0000,低购买用户
75180624,2,1,2.0000,低购买用户
80345747,2,1,2.0000,低购买用户
83469580,2,1,2.0000,低购买用户
85550335,2,1,2.0000,低购买用户
88239724,2,1,2.0000,低购买用户
92028970,2,1,2.0000,低购买用户
94421413,2,1,2.0000,低购买用户
101615370,2,1,2.0000,低购买用户
123082064,2,1,2.0000,低购买用户
126666346,2,1,2.0000,低购买用户
128265537,2,1,2.0000,低购买用户
3965819,2,1,2.0000,低购买用户
8832025,2,1,2.0000,低购买用户
10064430,2,1,2.0000,低购买用户
13056340,2,1,2.0000,低购买用户
21973088,2,1,2.0000,低购买用户
24700160,2,1,2.0000,低购买用户
30072819,2,1,2.0000,低购买用户
33729290,2,1,2.0000,低购买用户
40694580,2,1,2.0000,低购买用户
44431225,2,1,2.0000,低购买用户
48862784,2,1,2.0000,低购买用户
50555770,2,1,2.0000,低购买用户
52137505,2,1,2.0000,低购买用户
52655107,2,1,2.0000,低购买用户
52757653,2,1,2.0000,低购买用户
54365017,2,1,2.0000,低购买用户
56205838,2,1,2.0000,低购买用户
58479383,2,1,2.0000,低购买用户
58663495,2,1,2.0000,低购买用户
60030689,2,1,2.0000,低购买用户
18997016,109,55,1.9818,多商品少次型用户
70776553,23,12,1.9167,多商品少次型用户
119157607,21,11,1.9091,多商品少次型用户
36885666,21,11,1.9091,多商品少次型用户
52763242,19,10,1.9000,多商品少次型用户
136220191,34,18,1.8889,多商品少次型用户
32054639,17,9,1.8889,多商品少次型用户
60826253,17,9,1.8889,多商品少次型用户
93860264,17,9,1.8889,多商品少次型用户
51492142,441,235,1.8766,多商品少次型用户
1334962,15,8,1.8750,多商品少次型用户
16601288,15,8,1.8750,多商品少次型用户
76253881,15,8,1.8750,多商品少次型用户
76606093,15,8,1.8750,多商品少次型用户
81584249,15,8,1.8750,多商品少次型用户
128838543,15,8,1.8750,多商品少次型用户
109048285,26,14,1.8571,多商品少次型用户
136347831,13,7,1.8571,多商品少次型用户
39141608,13,7,1.8571,多商品少次型用户
34565215,24,13,1.8462,多商品少次型用户
85447850,33,18,1.8333,多商品少次型用户
122378590,22,12,1.8333,多商品少次型用户
40246206,22,12,1.8333,多商品少次型用户
11361547,11,6,1.8333,多商品少次型用户
20123340,11,6,1.8333,多商品少次型用户
67725088,11,6,1.8333,多商品少次型用户
38546869,20,11,1.8182,多商品少次型用户
44130547,20,11,1.8182,多商品少次型用户
60248227,20,11,1.8182,多商品少次型用户
139261152,20,11,1.8182,多商品少次型用户
101461439,58,32,1.8125,多商品少次型用户
73049202,29,16,1.8125,多商品少次型用户
131829621,38,21,1.8095,多商品少次型用户
754205,38,21,1.8095,多商品少次型用户
118433993,72,40,1.8000,多商品少次型用户
2989110,27,15,1.8000,多商品少次型用户
132156365,27,15,1.8000,多商品少次型用户
124755978,18,10,1.8000,多商品少次型用户
22525341,18,10,1.8000,多商品少次型用户
14664626,9,5,1.8000,多商品少次型用户
16419618,9,5,1.8000,多商品少次型用户
20347929,9,5,1.8000,多商品少次型用户
55548424,9,5,1.8000,多商品少次型用户
68680724,9,5,1.8000,多商品少次型用户
75986489,9,5,1.8000,多商品少次型用户
80638202,9,5,1.8000,多商品少次型用户
106557109,9,5,1.8000,多商品少次型用户
126215864,9,5,1.8000,多商品少次型用户
117902605,34,19,1.7895,多商品少次型用户
14515063,168,94,1.7872,多商品少次型用户
131701813,25,14,1.7857,多商品少次型用户
123257526,25,14,1.7857,多商品少次型用户
83851924,66,37,1.7838,多商品少次型用户
68362875,16,9,1.7778,多商品少次型用户
75749135,16,9,1.7778,多商品少次型用户
19146119,16,9,1.7778,多商品少次型用户
38357931,16,9,1.7778,多商品少次型用户
55305887,39,22,1.7727,多商品少次型用户
16332862,122,69,1.7681,多商品少次型用户
107209058,95,54,1.7593,多商品少次型用户
59894542,51,29,1.7586,多商品少次型用户
85336332,116,66,1.7576,多商品少次型用户
35338207,93,53,1.7547,多商品少次型用户
94084258,21,12,1.7500,多商品少次型用户
16493838,14,8,1.7500,多商品少次型用户
37600724,14,8,1.7500,多商品少次型用户
4710740,7,4,1.7500,多商品少次型用户
5698511,7,4,1.7500,多商品少次型用户
7799018,7,4,1.7500,多商品少次型用户
13396413,7,4,1.7500,多商品少次型用户
16641115,7,4,1.7500,多商品少次型用户
46334333,7,4,1.7500,多商品少次型用户
48851432,7,4,1.7500,多商品少次型用户
58391417,7,4,1.7500,多商品少次型用户
61561686,7,4,1.7500,多商品少次型用户
64051525,7,4,1.7500,多商品少次型用户
84267303,7,4,1.7500,多商品少次型用户
106175697,7,4,1.7500,多商品少次型用户
107830601,7,4,1.7500,多商品少次型用户
113972956,7,4,1.7500,多商品少次型用户
125157200,7,4,1.7500,多商品少次型用户
127479589,7,4,1.7500,多商品少次型用户
138061024,7,4,1.7500,多商品少次型用户
79269988,87,50,1.7400,多商品少次型用户
98513516,33,19,1.7368,多商品少次型用户
69159969,26,15,1.7333,多商品少次型用户
131466845,26,15,1.7333,多商品少次型用户
7959667,19,11,1.7273,多商品少次型用户
98531147,19,11,1.7273,多商品少次型用户
127896334,19,11,1.7273,多商品少次型用户
1824572,36,21,1.7143,多商品少次型用户
39630527,24,14,1.7143,多商品少次型用户
47272457,12,7,1.7143,多商品少次型用户
135015170,12,7,1.7143,多商品少次型用户
136882508,12,7,1.7143,多商品少次型用户
102011432,12,7,1.7143,多商品少次型用户
12210870,101,59,1.7119,多商品少次型用户
120329032,29,17,1.7059,多商品少次型用户
74086991,46,27,1.7037,多商品少次型用户
117681959,51,30,1.7000,多商品少次型用户
97661157,17,10,1.7000,多商品少次型用户
99543620,17,10,1.7000,多商品少次型用户
121539441,17,10,1.7000,多商品少次型用户
122036580,17,10,1.7000,多商品少次型用户
24466657,17,10,1.7000,多商品少次型用户
50145534,17,10,1.7000,多商品少次型用户
105026849,66,39,1.6923,多商品少次型用户
54340712,81,48,1.6875,多商品少次型用户
28734621,27,16,1.6875,多商品少次型用户
113396592,27,16,1.6875,多商品少次型用户
141582467,32,19,1.6842,多商品少次型用户
47060411,62,37,1.6757,多商品少次型用户
69613205,25,15,1.6667,多商品少次型用户
102758797,15,9,1.6667,多商品少次型用户
114211505,15,9,1.6667,多商品少次型用户
4387844,15,9,1.6667,多商品少次型用户
31557701,15,9,1.6667,多商品少次型用户
31872335,15,9,1.6667,多商品少次型用户
47333914,15,9,1.6667,多商品少次型用户
18017690,10,6,1.6667,多商品少次型用户
55528877,10,6,1.6667,多商品少次型用户
130354103,10,6,1.6667,多商品少次型用户
136571906,10,6,1.6667,多商品少次型用户
74193816,10,6,1.6667,多商品少次型用户
78445846,10,6,1.6667,多商品少次型用户
80081386,10,6,1.6667,多商品少次型用户
97834299,10,6,1.6667,多商品少次型用户
98043049,10,6,1.6667,多商品少次型用户
104937626,10,6,1.6667,多商品少次型用户
108260948,10,6,1.6667,多商品少次型用户
111842678,10,6,1.6667,多商品少次型用户
113611355,10,6,1.6667,多商品少次型用户
116476393,10,6,1.6667,多商品少次型用户
127025814,10,6,1.6667,多商品少次型用户
66961542,5,3,1.6667,多商品少次型用户
67229067,5,3,1.6667,多商品少次型用户
74561683,5,3,1.6667,多商品少次型用户
80115072,5,3,1.6667,多商品少次型用户
80481728,5,3,1.6667,多商品少次型用户
85051939,5,3,1.6667,多商品少次型用户
88374425,5,3,1.6667,多商品少次型用户
95247029,5,3,1.6667,多商品少次型用户
96074973,5,3,1.6667,多商品少次型用户
96789058,5,3,1.6667,多商品少次型用户
99467186,5,3,1.6667,多商品少次型用户
106108402,5,3,1.6667,多商品少次型用户
106547164,5,3,1.6667,多商品少次型用户
108583520,5,3,1.6667,多商品少次型用户
114779189,5,3,1.6667,多商品少次型用户
121550598,5,3,1.6667,多商品少次型用户
1022919,5,3,1.6667,多商品少次型用户
17684274,5,3,1.6667,多商品少次型用户
24471517,5,3,1.6667,多商品少次型用户
26063061,5,3,1.6667,多商品少次型用户
37184570,5,3,1.6667,多商品少次型用户
39095072,5,3,1.6667,多商品少次型用户
47792171,5,3,1.6667,多商品少次型用户
59244307,5,3,1.6667,多商品少次型用户
59934685,5,3,1.6667,多商品少次型用户
60550509,5,3,1.6667,多商品少次型用户
131281998,5,3,1.6667,多商品少次型用户
82302996,53,32,1.6563,多商品少次型用户
141907831,66,40,1.6500,多商品少次型用户
132347980,28,17,1.6471,多商品少次型用户
133888509,23,14,1.6429,多商品少次型用户
15386874,72,44,1.6364,多商品少次型用户
22509276,36,22,1.6364,多商品少次型用户
56278193,36,22,1.6364,多商品少次型用户
138153893,36,22,1.6364,多商品少次型用户
69731330,18,11,1.6364,多商品少次型用户
72884077,18,11,1.6364,多商品少次型用户
4076820,18,11,1.6364,多商品少次型用户
39690010,18,11,1.6364,多商品少次型用户
98435498,44,27,1.6296,多商品少次型用户
123952685,44,27,1.6296,多商品少次型用户
126690366,44,27,1.6296,多商品少次型用户
56797391,57,35,1.6286,多商品少次型用户
45743550,117,72,1.6250,多商品少次型用户
17373553,26,16,1.6250,多商品少次型用户
77252588,26,16,1.6250,多商品少次型用户
68983870,13,8,1.6250,多商品少次型用户
89153511,13,8,1.6250,多商品少次型用户
102477155,13,8,1.6250,多商品少次型用户
112504072,13,8,1.6250,多商品少次型用户
129226331,13,8,1.6250,多商品少次型用户
140990654,13,8,1.6250,多商品少次型用户
142455899,13,8,1.6250,多商品少次型用户
33077425,13,8,1.6250,多商品少次型用户
55501034,13,8,1.6250,多商品少次型用户
56219133,13,8,1.6250,多商品少次型用户
56920355,13,8,1.6250,多商品少次型用户
102663288,55,34,1.6176,多商品少次型用户
103499403,21,13,1.6154,多商品少次型用户
28036057,21,13,1.6154,多商品少次型用户
31183701,21,13,1.6154,多商品少次型用户
62826060,21,13,1.6154,多商品少次型用户
86748372,29,18,1.6111,多商品少次型用户
61121803,66,41,1.6098,多商品少次型用户
69521301,37,23,1.6087,多商品少次型用户
133849127,69,43,1.6047,多商品少次型用户
94654581,24,15,1.6000,多商品少次型用户
99199943,24,15,1.6000,多商品少次型用户
110017091,16,10,1.6000,多商品少次型用户
121782132,16,10,1.6000,多商品少次型用户
2103285,16,10,1.6000,多商品少次型用户
16847823,16,10,1.6000,多商品少次型用户
25994909,16,10,1.6000,多商品少次型用户
32738038,16,10,1.6000,多商品少次型用户
227293,8,5,1.6000,多商品少次型用户
21202467,8,5,1.6000,多商品少次型用户
51926383,8,5,1.6000,多商品少次型用户
67021316,8,5,1.6000,多商品少次型用户
71258991,8,5,1.6000,多商品少次型用户
74269202,8,5,1.6000,多商品少次型用户
74492481,8,5,1.6000,多商品少次型用户
90262162,8,5,1.6000,多商品少次型用户
91557809,8,5,1.6000,多商品少次型用户
107452984,8,5,1.6000,多商品少次型用户
115867129,8,5,1.6000,多商品少次型用户
119820357,8,5,1.6000,多商品少次型用户
120450577,8,5,1.6000,多商品少次型用户
132590261,8,5,1.6000,多商品少次型用户
53150140,59,37,1.5946,多商品少次型用户
40729947,94,59,1.5932,多商品少次型用户
29710830,43,27,1.5926,多商品少次型用户
21743048,113,71,1.5915,多商品少次型用户
26384257,35,22,1.5909,多商品少次型用户
45360868,27,17,1.5882,多商品少次型用户
120685346,27,17,1.5882,多商品少次型用户
46661935,84,53,1.5849,多商品少次型用户
1206079,19,12,1.5833,多商品少次型用户
43864355,19,12,1.5833,多商品少次型用户
68646634,19,12,1.5833,多商品少次型用户
86658749,19,12,1.5833,多商品少次型用户
87616807,19,12,1.5833,多商品少次型用户
89737857,19,12,1.5833,多商品少次型用户
109005178,60,38,1.5789,多商品少次型用户
79057120,41,26,1.5769,多商品少次型用户
96822596,41,26,1.5769,多商品少次型用户
1725399,55,35,1.5714,多商品少次型用户
10539406,33,21,1.5714,多商品少次型用户
96050373,33,21,1.5714,多商品少次型用户
59674270,22,14,1.5714,多商品少次型用户
3380259,11,7,1.5714,多商品少次型用户
8909639,11,7,1.5714,多商品少次型用户
14946743,11,7,1.5714,多商品少次型用户
15304564,11,7,1.5714,多商品少次型用户
30071480,11,7,1.5714,多商品少次型用户
31309091,11,7,1.5714,多商品少次型用户
37218187,11,7,1.5714,多商品少次型用户
53672814,11,7,1.5714,多商品少次型用户
130040744,11,7,1.5714,多商品少次型用户
138856127,11,7,1.5714,多商品少次型用户
84263296,11,7,1.5714,多商品少次型用户
95721550,11,7,1.5714,多商品少次型用户
105310641,11,7,1.5714,多商品少次型用户
115452492,11,7,1.5714,多商品少次型用户
100267644,36,23,1.5652,多商品少次型用户
122421140,125,80,1.5625,多商品少次型用户
109613455,64,41,1.5610,多商品少次型用户
17328648,42,27,1.5556,多商品少次型用户
65013453,42,27,1.5556,多商品少次型用户
52395429,28,18,1.5556,多商品少次型用户
63458915,28,18,1.5556,多商品少次型用户
121000384,28,18,1.5556,多商品少次型用户
67540780,14,9,1.5556,多商品少次型用户
79558429,14,9,1.5556,多商品少次型用户
83988987,14,9,1.5556,多商品少次型用户
42676532,14,9,1.5556,多商品少次型用户
43864538,14,9,1.5556,多商品少次型用户
135802457,14,9,1.5556,多商品少次型用户
118282748,31,20,1.5500,多商品少次型用户
118781454,31,20,1.5500,多商品少次型用户
37208119,31,20,1.5500,多商品少次型用户
74418729,48,31,1.5484,多商品少次型用户
80112220,34,22,1.5455,多商品少次型用户
67168345,17,11,1.5455,多商品少次型用户
81732161,17,11,1.5455,多商品少次型用户
92792849,17,11,1.5455,多商品少次型用户
93600553,17,11,1.5455,多商品少次型用户
118814309,17,11,1.5455,多商品少次型用户
126205303,17,11,1.5455,多商品少次型用户
21038500,17,11,1.5455,多商品少次型用户
21447166,17,11,1.5455,多商品少次型用户
41831177,17,11,1.5455,多商品少次型用户
124259296,145,94,1.5426,多商品少次型用户
132617033,57,37,1.5405,多商品少次型用户
105887770,40,26,1.5385,多商品少次型用户
95269877,20,13,1.5385,多商品少次型用户
103606020,20,13,1.5385,多商品少次型用户
32168566,20,13,1.5385,多商品少次型用户
36450170,20,13,1.5385,多商品少次型用户
56997547,20,13,1.5385,多商品少次型用户
61068008,20,13,1.5385,多商品少次型用户
142051625,43,28,1.5357,多商品少次型用户
139752048,23,15,1.5333,多商品少次型用户
33366958,23,15,1.5333,多商品少次型用户
117606829,23,15,1.5333,多商品少次型用户
92892459,26,17,1.5294,多商品少次型用户
41584192,26,17,1.5294,多商品少次型用户
89886681,55,36,1.5278,多商品少次型用户
135157689,29,19,1.5263,多商品少次型用户
39861556,29,19,1.5263,多商品少次型用户
60625397,29,19,1.5263,多商品少次型用户
15511710,61,40,1.5250,多商品少次型用户
35306096,242,159,1.5220,多商品少次型用户
7436994,35,23,1.5217,多商品少次型用户
110262333,35,23,1.5217,多商品少次型用户
25375727,44,29,1.5172,多商品少次型用户
113830171,81,54,1.5000,多商品少次型用户
65352076,45,30,1.5000,多商品少次型用户
2913602,36,24,1.5000,多商品少次型用户
16590671,30,20,1.5000,多商品少次型用户
38968501,30,20,1.5000,多商品少次型用户
57408837,30,20,1.5000,多商品少次型用户
19338057,27,18,1.5000,多商品少次型用户
56886732,27,18,1.5000,多商品少次型用户
101466976,27,18,1.5000,多商品少次型用户
111041160,27,18,1.5000,多商品少次型用户
113552018,27,18,1.5000,多商品少次型用户
67085594,24,16,1.5000,多商品少次型用户
74056865,24,16,1.5000,多商品少次型用户
91617828,24,16,1.5000,多商品少次型用户
108755598,24,16,1.5000,多商品少次型用户
521437,24,16,1.5000,多商品少次型用户
2720721,21,14,1.5000,多商品少次型用户
6516360,21,14,1.5000,多商品少次型用户
29381952,21,14,1.5000,多商品少次型用户
33544881,21,14,1.5000,多商品少次型用户
77455354,21,14,1.5000,多商品少次型用户
81635499,21,14,1.5000,多商品少次型用户
117396268,21,14,1.5000,多商品少次型用户
125547509,21,14,1.5000,多商品少次型用户
125634150,21,14,1.5000,多商品少次型用户
128050388,21,14,1.5000,多商品少次型用户
113537369,18,12,1.5000,多商品少次型用户
125193088,18,12,1.5000,多商品少次型用户
128213972,18,12,1.5000,多商品少次型用户
5694160,18,12,1.5000,多商品少次型用户
17809628,18,12,1.5000,多商品少次型用户
47087121,18,12,1.5000,多商品少次型用户
138467876,18,12,1.5000,多商品少次型用户
98756772,15,10,1.5000,多商品少次型用户
117418421,15,10,1.5000,多商品少次型用户
126086100,15,10,1.5000,多商品少次型用户
14137229,15,10,1.5000,多商品少次型用户
20912759,15,10,1.5000,多商品少次型用户
46112521,15,10,1.5000,多商品少次型用户
52416277,15,10,1.5000,多商品少次型用户
13096088,12,8,1.5000,多商品少次型用户
19831033,12,8,1.5000,多商品少次型用户
21696214,12,8,1.5000,多商品少次型用户
30701625,12,8,1.5000,多商品少次型用户
49362840,12,8,1.5000,多商品少次型用户
50169478,12,8,1.5000,多商品少次型用户
77813021,12,8,1.5000,多商品少次型用户
80125653,12,8,1.5000,多商品少次型用户
81550710,12,8,1.5000,多商品少次型用户
100874047,12,8,1.5000,多商品少次型用户
111240351,12,8,1.5000,多商品少次型用户
68381564,9,6,1.5000,多商品少次型用户
75209170,9,6,1.5000,多商品少次型用户
105256165,9,6,1.5000,多商品少次型用户
114995751,9,6,1.5000,多商品少次型用户
122818954,9,6,1.5000,多商品少次型用户
129189293,9,6,1.5000,多商品少次型用户
129533061,9,6,1.5000,多商品少次型用户
137944523,9,6,1.5000,多商品少次型用户
1050684,9,6,1.5000,多商品少次型用户
2622091,9,6,1.5000,多商品少次型用户
3190957,9,6,1.5000,多商品少次型用户
11106706,9,6,1.5000,多商品少次型用户
20329246,9,6,1.5000,多商品少次型用户
22305188,9,6,1.5000,多商品少次型用户
23860674,9,6,1.5000,多商品少次型用户
29217415,9,6,1.5000,多商品少次型用户
41564229,9,6,1.5000,多商品少次型用户
48186482,9,6,1.5000,多商品少次型用户
52683211,9,6,1.5000,多商品少次型用户
62889051,9,6,1.5000,多商品少次型用户
4597166,6,4,1.5000,多商品少次型用户
7072231,6,4,1.5000,多商品少次型用户
9996155,6,4,1.5000,多商品少次型用户
13745443,6,4,1.5000,多商品少次型用户
22094658,6,4,1.5000,多商品少次型用户
26391467,6,4,1.5000,多商品少次型用户
50616987,6,4,1.5000,多商品少次型用户
51436651,6,4,1.5000,多商品少次型用户
55603065,6,4,1.5000,多商品少次型用户
61200152,6,4,1.5000,多商品少次型用户
88707443,6,4,1.5000,多商品少次型用户
89917648,6,4,1.5000,多商品少次型用户
90684505,6,4,1.5000,多商品少次型用户
93050081,6,4,1.5000,多商品少次型用户
93967494,6,4,1.5000,多商品少次型用户
100090063,6,4,1.5000,多商品少次型用户
105835220,6,4,1.5000,多商品少次型用户
107102683,6,4,1.5000,多商品少次型用户
107416583,6,4,1.5000,多商品少次型用户
109714912,6,4,1.5000,多商品少次型用户
112941292,6,4,1.5000,多商品少次型用户
126403200,6,4,1.5000,多商品少次型用户
129676722,6,4,1.5000,多商品少次型用户
130625319,6,4,1.5000,多商品少次型用户
135667654,6,4,1.5000,多商品少次型用户
136091846,6,4,1.5000,多商品少次型用户
141700273,6,4,1.5000,多商品少次型用户
129809988,3,2,1.5000,一般购买用户
130876256,3,2,1.5000,一般购买用户
131962004,3,2,1.5000,一般购买用户
134259827,3,2,1.5000,一般购买用户
135916314,3,2,1.5000,一般购买用户
137092015,3,2,1.5000,一般购买用户
137435556,3,2,1.5000,一般购买用户
137536017,3,2,1.5000,一般购买用户
137690090,3,2,1.5000,一般购买用户
140651069,3,2,1.5000,一般购买用户
140790174,3,2,1.5000,一般购买用户
141453769,3,2,1.5000,一般购买用户
2557196,3,2,1.5000,一般购买用户
4729352,3,2,1.5000,一般购买用户
6516985,3,2,1.5000,一般购买用户
6847334,3,2,1.5000,一般购买用户
8427578,3,2,1.5000,一般购买用户
11189891,3,2,1.5000,一般购买用户
11900716,3,2,1.5000,一般购买用户
12070973,3,2,1.5000,一般购买用户
16423734,3,2,1.5000,一般购买用户
17962946,3,2,1.5000,一般购买用户
20307844,3,2,1.5000,一般购买用户
21536694,3,2,1.5000,一般购买用户
21883663,3,2,1.5000,一般购买用户
22607012,3,2,1.5000,一般购买用户
24814877,3,2,1.5000,一般购买用户
26917106,3,2,1.5000,一般购买用户
29429701,3,2,1.5000,一般购买用户
35096341,3,2,1.5000,一般购买用户
39780652,3,2,1.5000,一般购买用户
41182866,3,2,1.5000,一般购买用户
41599542,3,2,1.5000,一般购买用户
42503802,3,2,1.5000,一般购买用户
44849978,3,2,1.5000,一般购买用户
45069561,3,2,1.5000,一般购买用户
45074656,3,2,1.5000,一般购买用户
49272447,3,2,1.5000,一般购买用户
49896332,3,2,1.5000,一般购买用户
50704206,3,2,1.5000,一般购买用户
54242064,3,2,1.5000,一般购买用户
55192915,3,2,1.5000,一般购买用户
60441587,3,2,1.5000,一般购买用户
64947869,3,2,1.5000,一般购买用户
68210335,3,2,1.5000,一般购买用户
69663083,3,2,1.5000,一般购买用户
72767439,3,2,1.5000,一般购买用户
75665818,3,2,1.5000,一般购买用户
75978611,3,2,1.5000,一般购买用户
77258315,3,2,1.5000,一般购买用户
78111998,3,2,1.5000,一般购买用户
81874936,3,2,1.5000,一般购买用户
86817915,3,2,1.5000,一般购买用户
87901815,3,2,1.5000,一般购买用户
93463168,3,2,1.5000,一般购买用户
93812622,3,2,1.5000,一般购买用户
95055106,3,2,1.5000,一般购买用户
95301715,3,2,1.5000,一般购买用户
97335118,3,2,1.5000,一般购买用户
98578505,3,2,1.5000,一般购买用户
99856680,3,2,1.5000,一般购买用户
100517846,3,2,1.5000,一般购买用户
100833741,3,2,1.5000,一般购买用户
101504942,3,2,1.5000,一般购买用户
109382445,3,2,1.5000,一般购买用户
109493411,3,2,1.5000,一般购买用户
110285639,3,2,1.5000,一般购买用户
116218729,3,2,1.5000,一般购买用户
116277143,3,2,1.5000,一般购买用户
116439419,3,2,1.5000,一般购买用户
117888464,3,2,1.5000,一般购买用户
122895588,3,2,1.5000,一般购买用户
123577855,3,2,1.5000,一般购买用户
122338823,809,545,1.4844,多商品少次型用户
21978171,92,62,1.4839,多商品少次型用户
21140632,86,58,1.4828,多商品少次型用户
128960133,108,73,1.4795,多商品少次型用户
3519280,34,23,1.4783,多商品少次型用户
24805953,34,23,1.4783,多商品少次型用户
100279459,34,23,1.4783,多商品少次型用户
66749139,31,21,1.4762,多商品少次型用户
124161111,28,19,1.4737,多商品少次型用户
51926941,28,19,1.4737,多商品少次型用户
63001216,25,17,1.4706,多商品少次型用户
83345819,25,17,1.4706,多商品少次型用户
117956367,25,17,1.4706,多商品少次型用户
37880189,69,47,1.4681,多商品少次型用户
