item_category,category_purchase_count,category_item_count,top1_item_id,top1_purchase_count,top1_purchase_share,top5_purchase_count,top5_purchase_share,category_hhi,normalized_category_hhi,category_concentration_type
8741,2,1,189893694,2,1.0000,2,1.0000,1,1,高集中品类
8843,2,1,250553230,2,1.0000,2,1.0000,1,1,高集中品类
9051,2,1,250191839,2,1.0000,2,1.0000,1,1,高集中品类
9282,2,1,306898551,2,1.0000,2,1.0000,1,1,高集中品类
9410,2,1,23354469,2,1.0000,2,1.0000,1,1,高集中品类
9682,2,1,154821137,2,1.0000,2,1.0000,1,1,高集中品类
10016,2,1,368108583,2,1.0000,2,1.0000,1,1,高集中品类
299,2,1,258990851,2,1.0000,2,1.0000,1,1,高集中品类
449,2,1,365283984,2,1.0000,2,1.0000,1,1,高集中品类
514,2,1,193906793,2,1.0000,2,1.0000,1,1,高集中品类
597,2,1,387913245,2,1.0000,2,1.0000,1,1,高集中品类
830,2,1,34663373,2,1.0000,2,1.0000,1,1,高集中品类
1163,2,1,289290189,2,1.0000,2,1.0000,1,1,高集中品类
1344,2,1,223578741,2,1.0000,2,1.0000,1,1,高集中品类
1497,2,1,242880837,2,1.0000,2,1.0000,1,1,高集中品类
1556,2,1,346393121,2,1.0000,2,1.0000,1,1,高集中品类
1818,2,1,374146322,2,1.0000,2,1.0000,1,1,高集中品类
2211,2,1,295584566,2,1.0000,2,1.0000,1,1,高集中品类
2624,2,1,251921589,2,1.0000,2,1.0000,1,1,高集中品类
2637,2,1,15695356,2,1.0000,2,1.0000,1,1,高集中品类
2677,2,1,365499942,2,1.0000,2,1.0000,1,1,高集中品类
2736,2,1,306357123,2,1.0000,2,1.0000,1,1,高集中品类
2755,2,1,267359066,2,1.0000,2,1.0000,1,1,高集中品类
3236,2,1,120439342,2,1.0000,2,1.0000,1,1,高集中品类
3300,2,1,333410678,2,1.0000,2,1.0000,1,1,高集中品类
3328,2,1,18275271,2,1.0000,2,1.0000,1,1,高集中品类
3590,2,1,235087835,2,1.0000,2,1.0000,1,1,高集中品类
3618,2,1,372860861,2,1.0000,2,1.0000,1,1,高集中品类
3810,2,1,379268713,2,1.0000,2,1.0000,1,1,高集中品类
3816,2,1,253893418,2,1.0000,2,1.0000,1,1,高集中品类
3896,2,1,282977983,2,1.0000,2,1.0000,1,1,高集中品类
3901,2,1,63889411,2,1.0000,2,1.0000,1,1,高集中品类
4281,2,1,387050606,2,1.0000,2,1.0000,1,1,高集中品类
4374,2,1,350923282,2,1.0000,2,1.0000,1,1,高集中品类
4527,2,1,358953759,2,1.0000,2,1.0000,1,1,高集中品类
4579,2,1,101369250,2,1.0000,2,1.0000,1,1,高集中品类
4754,2,1,114588704,2,1.0000,2,1.0000,1,1,高集中品类
10153,2,1,142209683,2,1.0000,2,1.0000,1,1,高集中品类
10181,2,1,88880554,2,1.0000,2,1.0000,1,1,高集中品类
11059,2,1,85506241,2,1.0000,2,1.0000,1,1,高集中品类
11146,2,1,385893340,2,1.0000,2,1.0000,1,1,高集中品类
11174,2,1,283995590,2,1.0000,2,1.0000,1,1,高集中品类
11220,2,1,144683486,2,1.0000,2,1.0000,1,1,高集中品类
11446,2,1,15221129,2,1.0000,2,1.0000,1,1,高集中品类
11454,2,1,392861788,2,1.0000,2,1.0000,1,1,高集中品类
11859,2,1,118882562,2,1.0000,2,1.0000,1,1,高集中品类
11969,2,1,169418726,2,1.0000,2,1.0000,1,1,高集中品类
12473,2,1,58886962,2,1.0000,2,1.0000,1,1,高集中品类
12773,2,1,79638373,2,1.0000,2,1.0000,1,1,高集中品类
12853,2,1,396133295,2,1.0000,2,1.0000,1,1,高集中品类
12895,2,1,239128154,2,1.0000,2,1.0000,1,1,高集中品类
12929,2,1,82825451,2,1.0000,2,1.0000,1,1,高集中品类
13030,2,1,133968633,2,1.0000,2,1.0000,1,1,高集中品类
13044,2,1,99276856,2,1.0000,2,1.0000,1,1,高集中品类
13155,2,1,293938017,2,1.0000,2,1.0000,1,1,高集中品类
13677,2,1,374594546,2,1.0000,2,1.0000,1,1,高集中品类
13784,2,1,364512042,2,1.0000,2,1.0000,1,1,高集中品类
13888,2,1,127200015,2,1.0000,2,1.0000,1,1,高集中品类
14016,2,1,360540586,2,1.0000,2,1.0000,1,1,高集中品类
14066,2,1,5071122,2,1.0000,2,1.0000,1,1,高集中品类
10022,1,1,286423512,1,1.0000,1,1.0000,1,1,高集中品类
10038,1,1,30109885,1,1.0000,1,1.0000,1,1,高集中品类
10045,1,1,67063992,1,1.0000,1,1.0000,1,1,高集中品类
10055,1,1,359234017,1,1.0000,1,1.0000,1,1,高集中品类
10075,1,1,136103776,1,1.0000,1,1.0000,1,1,高集中品类
10078,1,1,394266005,1,1.0000,1,1.0000,1,1,高集中品类
10115,1,1,338146163,1,1.0000,1,1.0000,1,1,高集中品类
10125,1,1,308867436,1,1.0000,1,1.0000,1,1,高集中品类
10129,1,1,118965377,1,1.0000,1,1.0000,1,1,高集中品类
10144,1,1,362037067,1,1.0000,1,1.0000,1,1,高集中品类
10155,1,1,55477418,1,1.0000,1,1.0000,1,1,高集中品类
10191,1,1,66539312,1,1.0000,1,1.0000,1,1,高集中品类
10194,1,1,221579625,1,1.0000,1,1.0000,1,1,高集中品类
10196,1,1,146538182,1,1.0000,1,1.0000,1,1,高集中品类
10201,1,1,117223659,1,1.0000,1,1.0000,1,1,高集中品类
10252,1,1,393197515,1,1.0000,1,1.0000,1,1,高集中品类
10309,1,1,62344210,1,1.0000,1,1.0000,1,1,高集中品类
10321,1,1,135804871,1,1.0000,1,1.0000,1,1,高集中品类
10335,1,1,326824911,1,1.0000,1,1.0000,1,1,高集中品类
10339,1,1,175624143,1,1.0000,1,1.0000,1,1,高集中品类
10417,1,1,96751123,1,1.0000,1,1.0000,1,1,高集中品类
10423,1,1,188524647,1,1.0000,1,1.0000,1,1,高集中品类
10434,1,1,345214982,1,1.0000,1,1.0000,1,1,高集中品类
10438,1,1,17691687,1,1.0000,1,1.0000,1,1,高集中品类
10470,1,1,223962358,1,1.0000,1,1.0000,1,1,高集中品类
10486,1,1,39667358,1,1.0000,1,1.0000,1,1,高集中品类
10494,1,1,235074917,1,1.0000,1,1.0000,1,1,高集中品类
10517,1,1,38671011,1,1.0000,1,1.0000,1,1,高集中品类
10518,1,1,380769146,1,1.0000,1,1.0000,1,1,高集中品类
10566,1,1,73698435,1,1.0000,1,1.0000,1,1,高集中品类
10568,1,1,247468064,1,1.0000,1,1.0000,1,1,高集中品类
10598,1,1,288631633,1,1.0000,1,1.0000,1,1,高集中品类
10601,1,1,379159073,1,1.0000,1,1.0000,1,1,高集中品类
10649,1,1,59320868,1,1.0000,1,1.0000,1,1,高集中品类
10668,1,1,274056325,1,1.0000,1,1.0000,1,1,高集中品类
10682,1,1,382699553,1,1.0000,1,1.0000,1,1,高集中品类
10699,1,1,323232576,1,1.0000,1,1.0000,1,1,高集中品类
10728,1,1,308366794,1,1.0000,1,1.0000,1,1,高集中品类
10743,1,1,299871587,1,1.0000,1,1.0000,1,1,高集中品类
10755,1,1,356035490,1,1.0000,1,1.0000,1,1,高集中品类
10757,1,1,250970359,1,1.0000,1,1.0000,1,1,高集中品类
10769,1,1,116876890,1,1.0000,1,1.0000,1,1,高集中品类
10796,1,1,323197161,1,1.0000,1,1.0000,1,1,高集中品类
10813,1,1,215518739,1,1.0000,1,1.0000,1,1,高集中品类
10836,1,1,101158137,1,1.0000,1,1.0000,1,1,高集中品类
10840,1,1,23689949,1,1.0000,1,1.0000,1,1,高集中品类
10843,1,1,358348384,1,1.0000,1,1.0000,1,1,高集中品类
10845,1,1,361727742,1,1.0000,1,1.0000,1,1,高集中品类
10859,1,1,336692707,1,1.0000,1,1.0000,1,1,高集中品类
10861,1,1,6545482,1,1.0000,1,1.0000,1,1,高集中品类
10865,1,1,11659997,1,1.0000,1,1.0000,1,1,高集中品类
10868,1,1,114720572,1,1.0000,1,1.0000,1,1,高集中品类
10874,1,1,264457070,1,1.0000,1,1.0000,1,1,高集中品类
10879,1,1,355003861,1,1.0000,1,1.0000,1,1,高集中品类
10916,1,1,18190078,1,1.0000,1,1.0000,1,1,高集中品类
10934,1,1,225439592,1,1.0000,1,1.0000,1,1,高集中品类
10937,1,1,311568055,1,1.0000,1,1.0000,1,1,高集中品类
10962,1,1,193467042,1,1.0000,1,1.0000,1,1,高集中品类
10963,1,1,320854692,1,1.0000,1,1.0000,1,1,高集中品类
10966,1,1,286449695,1,1.0000,1,1.0000,1,1,高集中品类
10981,1,1,186554929,1,1.0000,1,1.0000,1,1,高集中品类
11000,1,1,198642710,1,1.0000,1,1.0000,1,1,高集中品类
11014,1,1,13520644,1,1.0000,1,1.0000,1,1,高集中品类
11074,1,1,88771458,1,1.0000,1,1.0000,1,1,高集中品类
11090,1,1,320865488,1,1.0000,1,1.0000,1,1,高集中品类
11093,1,1,389185368,1,1.0000,1,1.0000,1,1,高集中品类
11095,1,1,13436286,1,1.0000,1,1.0000,1,1,高集中品类
11099,1,1,158265376,1,1.0000,1,1.0000,1,1,高集中品类
11121,1,1,345563416,1,1.0000,1,1.0000,1,1,高集中品类
11132,1,1,269431469,1,1.0000,1,1.0000,1,1,高集中品类
11161,1,1,123316455,1,1.0000,1,1.0000,1,1,高集中品类
11172,1,1,374829985,1,1.0000,1,1.0000,1,1,高集中品类
11191,1,1,212465955,1,1.0000,1,1.0000,1,1,高集中品类
11192,1,1,246878747,1,1.0000,1,1.0000,1,1,高集中品类
11194,1,1,106118089,1,1.0000,1,1.0000,1,1,高集中品类
11196,1,1,295926194,1,1.0000,1,1.0000,1,1,高集中品类
11200,1,1,212808706,1,1.0000,1,1.0000,1,1,高集中品类
11203,1,1,194181358,1,1.0000,1,1.0000,1,1,高集中品类
11205,1,1,210397288,1,1.0000,1,1.0000,1,1,高集中品类
11245,1,1,288038529,1,1.0000,1,1.0000,1,1,高集中品类
11249,1,1,150320842,1,1.0000,1,1.0000,1,1,高集中品类
11252,1,1,359598200,1,1.0000,1,1.0000,1,1,高集中品类
11264,1,1,204127979,1,1.0000,1,1.0000,1,1,高集中品类
11271,1,1,313664932,1,1.0000,1,1.0000,1,1,高集中品类
11280,1,1,265289840,1,1.0000,1,1.0000,1,1,高集中品类
11293,1,1,177426833,1,1.0000,1,1.0000,1,1,高集中品类
11303,1,1,34371170,1,1.0000,1,1.0000,1,1,高集中品类
11313,1,1,225632751,1,1.0000,1,1.0000,1,1,高集中品类
11321,1,1,217033627,1,1.0000,1,1.0000,1,1,高集中品类
11328,1,1,119354678,1,1.0000,1,1.0000,1,1,高集中品类
11336,1,1,164692712,1,1.0000,1,1.0000,1,1,高集中品类
11337,1,1,255220332,1,1.0000,1,1.0000,1,1,高集中品类
11360,1,1,229719703,1,1.0000,1,1.0000,1,1,高集中品类
11364,1,1,260493013,1,1.0000,1,1.0000,1,1,高集中品类
11387,1,1,295501536,1,1.0000,1,1.0000,1,1,高集中品类
11413,1,1,258847575,1,1.0000,1,1.0000,1,1,高集中品类
11428,1,1,58980631,1,1.0000,1,1.0000,1,1,高集中品类
11434,1,1,239284355,1,1.0000,1,1.0000,1,1,高集中品类
11449,1,1,395277943,1,1.0000,1,1.0000,1,1,高集中品类
11457,1,1,156761607,1,1.0000,1,1.0000,1,1,高集中品类
11480,1,1,303980667,1,1.0000,1,1.0000,1,1,高集中品类
11484,1,1,100509688,1,1.0000,1,1.0000,1,1,高集中品类
11522,1,1,20566076,1,1.0000,1,1.0000,1,1,高集中品类
11532,1,1,137621896,1,1.0000,1,1.0000,1,1,高集中品类
11541,1,1,200274363,1,1.0000,1,1.0000,1,1,高集中品类
11553,1,1,328048175,1,1.0000,1,1.0000,1,1,高集中品类
11557,1,1,282080500,1,1.0000,1,1.0000,1,1,高集中品类
11580,1,1,362367779,1,1.0000,1,1.0000,1,1,高集中品类
11591,1,1,329431537,1,1.0000,1,1.0000,1,1,高集中品类
11596,1,1,261315164,1,1.0000,1,1.0000,1,1,高集中品类
11620,1,1,233769429,1,1.0000,1,1.0000,1,1,高集中品类
11654,1,1,280788584,1,1.0000,1,1.0000,1,1,高集中品类
11655,1,1,106282646,1,1.0000,1,1.0000,1,1,高集中品类
11709,1,1,229011573,1,1.0000,1,1.0000,1,1,高集中品类
11725,1,1,69037331,1,1.0000,1,1.0000,1,1,高集中品类
11735,1,1,47952478,1,1.0000,1,1.0000,1,1,高集中品类
11767,1,1,202557778,1,1.0000,1,1.0000,1,1,高集中品类
11769,1,1,375596732,1,1.0000,1,1.0000,1,1,高集中品类
11773,1,1,122102298,1,1.0000,1,1.0000,1,1,高集中品类
11780,1,1,194954200,1,1.0000,1,1.0000,1,1,高集中品类
11784,1,1,394430674,1,1.0000,1,1.0000,1,1,高集中品类
11801,1,1,125206409,1,1.0000,1,1.0000,1,1,高集中品类
11806,1,1,3378345,1,1.0000,1,1.0000,1,1,高集中品类
11811,1,1,50505499,1,1.0000,1,1.0000,1,1,高集中品类
11818,1,1,366019238,1,1.0000,1,1.0000,1,1,高集中品类
11825,1,1,367912248,1,1.0000,1,1.0000,1,1,高集中品类
11826,1,1,124119026,1,1.0000,1,1.0000,1,1,高集中品类
11828,1,1,218678045,1,1.0000,1,1.0000,1,1,高集中品类
11832,1,1,73190805,1,1.0000,1,1.0000,1,1,高集中品类
11836,1,1,283975694,1,1.0000,1,1.0000,1,1,高集中品类
11844,1,1,348517511,1,1.0000,1,1.0000,1,1,高集中品类
11849,1,1,80833516,1,1.0000,1,1.0000,1,1,高集中品类
11867,1,1,292734910,1,1.0000,1,1.0000,1,1,高集中品类
11880,1,1,353069150,1,1.0000,1,1.0000,1,1,高集中品类
11897,1,1,298720713,1,1.0000,1,1.0000,1,1,高集中品类
11918,1,1,71491657,1,1.0000,1,1.0000,1,1,高集中品类
11931,1,1,74142061,1,1.0000,1,1.0000,1,1,高集中品类
11933,1,1,381706616,1,1.0000,1,1.0000,1,1,高集中品类
11935,1,1,259521614,1,1.0000,1,1.0000,1,1,高集中品类
11940,1,1,215679661,1,1.0000,1,1.0000,1,1,高集中品类
11943,1,1,237046811,1,1.0000,1,1.0000,1,1,高集中品类
11945,1,1,10418975,1,1.0000,1,1.0000,1,1,高集中品类
11960,1,1,288646760,1,1.0000,1,1.0000,1,1,高集中品类
11964,1,1,328314461,1,1.0000,1,1.0000,1,1,高集中品类
11987,1,1,249104596,1,1.0000,1,1.0000,1,1,高集中品类
11989,1,1,29152531,1,1.0000,1,1.0000,1,1,高集中品类
12005,1,1,256284271,1,1.0000,1,1.0000,1,1,高集中品类
12024,1,1,677259,1,1.0000,1,1.0000,1,1,高集中品类
12064,1,1,354661684,1,1.0000,1,1.0000,1,1,高集中品类
12071,1,1,129078135,1,1.0000,1,1.0000,1,1,高集中品类
12088,1,1,162215944,1,1.0000,1,1.0000,1,1,高集中品类
12091,1,1,213021547,1,1.0000,1,1.0000,1,1,高集中品类
12103,1,1,167697350,1,1.0000,1,1.0000,1,1,高集中品类
12136,1,1,272402152,1,1.0000,1,1.0000,1,1,高集中品类
12161,1,1,311437934,1,1.0000,1,1.0000,1,1,高集中品类
12181,1,1,198569698,1,1.0000,1,1.0000,1,1,高集中品类
12216,1,1,175142410,1,1.0000,1,1.0000,1,1,高集中品类
12225,1,1,365919087,1,1.0000,1,1.0000,1,1,高集中品类
12232,1,1,353370831,1,1.0000,1,1.0000,1,1,高集中品类
12255,1,1,111838816,1,1.0000,1,1.0000,1,1,高集中品类
12260,1,1,41523974,1,1.0000,1,1.0000,1,1,高集中品类
12279,1,1,3050189,1,1.0000,1,1.0000,1,1,高集中品类
12290,1,1,241198452,1,1.0000,1,1.0000,1,1,高集中品类
12299,1,1,311551672,1,1.0000,1,1.0000,1,1,高集中品类
12325,1,1,301211896,1,1.0000,1,1.0000,1,1,高集中品类
12331,1,1,147525461,1,1.0000,1,1.0000,1,1,高集中品类
12337,1,1,396382890,1,1.0000,1,1.0000,1,1,高集中品类
12356,1,1,33330123,1,1.0000,1,1.0000,1,1,高集中品类
12359,1,1,356112381,1,1.0000,1,1.0000,1,1,高集中品类
12405,1,1,233717186,1,1.0000,1,1.0000,1,1,高集中品类
12431,1,1,152884205,1,1.0000,1,1.0000,1,1,高集中品类
12445,1,1,48005886,1,1.0000,1,1.0000,1,1,高集中品类
12452,1,1,21037515,1,1.0000,1,1.0000,1,1,高集中品类
12468,1,1,173705692,1,1.0000,1,1.0000,1,1,高集中品类
12471,1,1,184352094,1,1.0000,1,1.0000,1,1,高集中品类
12491,1,1,178496986,1,1.0000,1,1.0000,1,1,高集中品类
12496,1,1,327117762,1,1.0000,1,1.0000,1,1,高集中品类
12505,1,1,235879348,1,1.0000,1,1.0000,1,1,高集中品类
12507,1,1,335290888,1,1.0000,1,1.0000,1,1,高集中品类
12517,1,1,294554975,1,1.0000,1,1.0000,1,1,高集中品类
12523,1,1,6343466,1,1.0000,1,1.0000,1,1,高集中品类
12527,1,1,364108037,1,1.0000,1,1.0000,1,1,高集中品类
12546,1,1,400256719,1,1.0000,1,1.0000,1,1,高集中品类
12549,1,1,308368918,1,1.0000,1,1.0000,1,1,高集中品类
12573,1,1,296488949,1,1.0000,1,1.0000,1,1,高集中品类
12589,1,1,121510890,1,1.0000,1,1.0000,1,1,高集中品类
12601,1,1,400704763,1,1.0000,1,1.0000,1,1,高集中品类
12616,1,1,181096246,1,1.0000,1,1.0000,1,1,高集中品类
12618,1,1,152032443,1,1.0000,1,1.0000,1,1,高集中品类
12625,1,1,91325980,1,1.0000,1,1.0000,1,1,高集中品类
12628,1,1,133925162,1,1.0000,1,1.0000,1,1,高集中品类
12641,1,1,295803871,1,1.0000,1,1.0000,1,1,高集中品类
12648,1,1,91803791,1,1.0000,1,1.0000,1,1,高集中品类
12666,1,1,170016018,1,1.0000,1,1.0000,1,1,高集中品类
12694,1,1,93348926,1,1.0000,1,1.0000,1,1,高集中品类
12710,1,1,363191033,1,1.0000,1,1.0000,1,1,高集中品类
12718,1,1,104285135,1,1.0000,1,1.0000,1,1,高集中品类
12731,1,1,154450010,1,1.0000,1,1.0000,1,1,高集中品类
12732,1,1,205896984,1,1.0000,1,1.0000,1,1,高集中品类
12733,1,1,328643099,1,1.0000,1,1.0000,1,1,高集中品类
12768,1,1,245301685,1,1.0000,1,1.0000,1,1,高集中品类
12780,1,1,207156810,1,1.0000,1,1.0000,1,1,高集中品类
12791,1,1,346676117,1,1.0000,1,1.0000,1,1,高集中品类
12792,1,1,337561035,1,1.0000,1,1.0000,1,1,高集中品类
12794,1,1,228306420,1,1.0000,1,1.0000,1,1,高集中品类
12796,1,1,179547497,1,1.0000,1,1.0000,1,1,高集中品类
12807,1,1,302198144,1,1.0000,1,1.0000,1,1,高集中品类
12810,1,1,308756761,1,1.0000,1,1.0000,1,1,高集中品类
12824,1,1,205223501,1,1.0000,1,1.0000,1,1,高集中品类
12840,1,1,81372269,1,1.0000,1,1.0000,1,1,高集中品类
12847,1,1,297621065,1,1.0000,1,1.0000,1,1,高集中品类
12848,1,1,387590692,1,1.0000,1,1.0000,1,1,高集中品类
12857,1,1,60073797,1,1.0000,1,1.0000,1,1,高集中品类
12872,1,1,342548713,1,1.0000,1,1.0000,1,1,高集中品类
12890,1,1,83523489,1,1.0000,1,1.0000,1,1,高集中品类
12896,1,1,136787563,1,1.0000,1,1.0000,1,1,高集中品类
12906,1,1,321778931,1,1.0000,1,1.0000,1,1,高集中品类
12907,1,1,165580539,1,1.0000,1,1.0000,1,1,高集中品类
12908,1,1,23548742,1,1.0000,1,1.0000,1,1,高集中品类
12917,1,1,87871526,1,1.0000,1,1.0000,1,1,高集中品类
12933,1,1,290103771,1,1.0000,1,1.0000,1,1,高集中品类
12936,1,1,70728800,1,1.0000,1,1.0000,1,1,高集中品类
12969,1,1,323529190,1,1.0000,1,1.0000,1,1,高集中品类
12975,1,1,188825054,1,1.0000,1,1.0000,1,1,高集中品类
12978,1,1,54161132,1,1.0000,1,1.0000,1,1,高集中品类
13002,1,1,277989776,1,1.0000,1,1.0000,1,1,高集中品类
13012,1,1,354851705,1,1.0000,1,1.0000,1,1,高集中品类
13020,1,1,99391417,1,1.0000,1,1.0000,1,1,高集中品类
13047,1,1,95226929,1,1.0000,1,1.0000,1,1,高集中品类
13067,1,1,281691985,1,1.0000,1,1.0000,1,1,高集中品类
13085,1,1,160118905,1,1.0000,1,1.0000,1,1,高集中品类
13100,1,1,69844463,1,1.0000,1,1.0000,1,1,高集中品类
13105,1,1,50251145,1,1.0000,1,1.0000,1,1,高集中品类
13124,1,1,84524877,1,1.0000,1,1.0000,1,1,高集中品类
13138,1,1,142843154,1,1.0000,1,1.0000,1,1,高集中品类
13156,1,1,294115624,1,1.0000,1,1.0000,1,1,高集中品类
13173,1,1,79426988,1,1.0000,1,1.0000,1,1,高集中品类
13175,1,1,38422237,1,1.0000,1,1.0000,1,1,高集中品类
13182,1,1,151752800,1,1.0000,1,1.0000,1,1,高集中品类
13187,1,1,8023795,1,1.0000,1,1.0000,1,1,高集中品类
13195,1,1,329662526,1,1.0000,1,1.0000,1,1,高集中品类
13206,1,1,31547565,1,1.0000,1,1.0000,1,1,高集中品类
13208,1,1,103562436,1,1.0000,1,1.0000,1,1,高集中品类
13251,1,1,206393303,1,1.0000,1,1.0000,1,1,高集中品类
13255,1,1,231296144,1,1.0000,1,1.0000,1,1,高集中品类
13260,1,1,29860765,1,1.0000,1,1.0000,1,1,高集中品类
13284,1,1,303174813,1,1.0000,1,1.0000,1,1,高集中品类
13290,1,1,808652,1,1.0000,1,1.0000,1,1,高集中品类
13294,1,1,141663380,1,1.0000,1,1.0000,1,1,高集中品类
13320,1,1,281989297,1,1.0000,1,1.0000,1,1,高集中品类
13329,1,1,252776676,1,1.0000,1,1.0000,1,1,高集中品类
13339,1,1,306812855,1,1.0000,1,1.0000,1,1,高集中品类
13350,1,1,232209115,1,1.0000,1,1.0000,1,1,高集中品类
13352,1,1,395958456,1,1.0000,1,1.0000,1,1,高集中品类
13359,1,1,330310094,1,1.0000,1,1.0000,1,1,高集中品类
13372,1,1,88891219,1,1.0000,1,1.0000,1,1,高集中品类
13376,1,1,203892036,1,1.0000,1,1.0000,1,1,高集中品类
13403,1,1,305640848,1,1.0000,1,1.0000,1,1,高集中品类
13433,1,1,7726976,1,1.0000,1,1.0000,1,1,高集中品类
13450,1,1,357480098,1,1.0000,1,1.0000,1,1,高集中品类
13462,1,1,311024211,1,1.0000,1,1.0000,1,1,高集中品类
13463,1,1,62844115,1,1.0000,1,1.0000,1,1,高集中品类
13464,1,1,83272599,1,1.0000,1,1.0000,1,1,高集中品类
13477,1,1,374610433,1,1.0000,1,1.0000,1,1,高集中品类
13493,1,1,265029270,1,1.0000,1,1.0000,1,1,高集中品类
13518,1,1,56517598,1,1.0000,1,1.0000,1,1,高集中品类
13519,1,1,356142107,1,1.0000,1,1.0000,1,1,高集中品类
13525,1,1,384767059,1,1.0000,1,1.0000,1,1,高集中品类
13526,1,1,136246758,1,1.0000,1,1.0000,1,1,高集中品类
13539,1,1,379534908,1,1.0000,1,1.0000,1,1,高集中品类
13545,1,1,135918743,1,1.0000,1,1.0000,1,1,高集中品类
13553,1,1,349186635,1,1.0000,1,1.0000,1,1,高集中品类
13560,1,1,308149927,1,1.0000,1,1.0000,1,1,高集中品类
13580,1,1,121444940,1,1.0000,1,1.0000,1,1,高集中品类
13583,1,1,345733190,1,1.0000,1,1.0000,1,1,高集中品类
13606,1,1,297014134,1,1.0000,1,1.0000,1,1,高集中品类
13623,1,1,367671380,1,1.0000,1,1.0000,1,1,高集中品类
13629,1,1,221495358,1,1.0000,1,1.0000,1,1,高集中品类
13642,1,1,322369788,1,1.0000,1,1.0000,1,1,高集中品类
13654,1,1,201047656,1,1.0000,1,1.0000,1,1,高集中品类
13662,1,1,283151262,1,1.0000,1,1.0000,1,1,高集中品类
13665,1,1,312220532,1,1.0000,1,1.0000,1,1,高集中品类
13669,1,1,35072517,1,1.0000,1,1.0000,1,1,高集中品类
13683,1,1,304304460,1,1.0000,1,1.0000,1,1,高集中品类
