item_category,item_id,total_purchase_count,core_user_purchase_count,non_core_user_purchase_count,core_user_purchase_rate,core_user_purchase_rate_percent
28,8112103,1,1,0,1.0,100.0%
28,107904594,1,1,0,1.0,100.0%
28,138435131,1,1,0,1.0,100.0%
28,339275285,1,1,0,1.0,100.0%
28,371169165,1,1,0,1.0,100.0%
32,202097300,1,0,1,0.0,0.0%
34,293355293,1,1,0,1.0,100.0%
35,46236466,1,1,0,1.0,100.0%
35,153986603,1,1,0,1.0,100.0%
35,48425163,1,0,1,0.0,0.0%
35,90978677,1,0,1,0.0,0.0%
35,355757176,1,0,1,0.0,0.0%
43,71786459,1,1,0,1.0,100.0%
43,95608881,1,1,0,1.0,100.0%
43,227064372,1,1,0,1.0,100.0%
43,365046484,1,1,0,1.0,100.0%
43,384657411,1,1,0,1.0,100.0%
43,388054679,1,1,0,1.0,100.0%
43,115336881,1,0,1,0.0,0.0%
43,144541853,1,0,1,0.0,0.0%
43,234258116,1,0,1,0.0,0.0%
43,251042828,1,0,1,0.0,0.0%
43,316773899,1,0,1,0.0,0.0%
43,322773752,1,0,1,0.0,0.0%
43,335648862,1,0,1,0.0,0.0%
46,61679215,1,1,0,1.0,100.0%
46,145045827,1,0,1,0.0,0.0%
47,15550116,2,2,0,1.0,100.0%
47,129559326,2,2,0,1.0,100.0%
47,229614682,1,1,0,1.0,100.0%
47,268961170,1,1,0,1.0,100.0%
47,28019170,1,0,1,0.0,0.0%
47,206941138,1,0,1,0.0,0.0%
47,350042121,1,0,1,0.0,0.0%
47,391250621,1,0,1,0.0,0.0%
56,254077975,4,4,0,1.0,100.0%
56,155901943,1,1,0,1.0,100.0%
56,183756451,1,1,0,1.0,100.0%
56,200259483,1,1,0,1.0,100.0%
56,225372288,1,1,0,1.0,100.0%
56,271566717,1,1,0,1.0,100.0%
56,26299454,3,2,1,0.6667,66.67%
56,88645514,1,0,1,0.0,0.0%
56,95433076,1,0,1,0.0,0.0%
56,121204984,1,0,1,0.0,0.0%
56,134902569,1,0,1,0.0,0.0%
56,161454617,1,0,1,0.0,0.0%
56,167298767,1,0,1,0.0,0.0%
56,266060797,1,0,1,0.0,0.0%
56,293154353,1,0,1,0.0,0.0%
58,71691537,1,0,1,0.0,0.0%
59,174122181,1,1,0,1.0,100.0%
66,53782090,1,1,0,1.0,100.0%
66,120505869,1,0,1,0.0,0.0%
66,196277361,1,0,1,0.0,0.0%
66,255758484,1,0,1,0.0,0.0%
67,283579660,1,1,0,1.0,100.0%
67,237013099,1,0,1,0.0,0.0%
67,272790028,1,0,1,0.0,0.0%
67,342775221,1,0,1,0.0,0.0%
68,93959092,1,1,0,1.0,100.0%
72,161725892,1,1,0,1.0,100.0%
72,324218862,1,1,0,1.0,100.0%
73,14354520,1,0,1,0.0,0.0%
77,149716990,1,0,1,0.0,0.0%
77,317319508,1,0,1,0.0,0.0%
80,382121858,1,1,0,1.0,100.0%
80,29819951,1,0,1,0.0,0.0%
80,273715844,1,0,1,0.0,0.0%
83,237930373,1,0,1,0.0,0.0%
85,41301261,1,1,0,1.0,100.0%
85,109727202,1,1,0,1.0,100.0%
85,126732902,2,0,2,0.0,0.0%
90,152765015,1,0,1,0.0,0.0%
93,247198179,1,1,0,1.0,100.0%
93,305994841,1,1,0,1.0,100.0%
93,344107918,1,1,0,1.0,100.0%
94,4000439,1,1,0,1.0,100.0%
94,42822715,1,1,0,1.0,100.0%
94,45161901,1,1,0,1.0,100.0%
94,46477446,1,1,0,1.0,100.0%
94,55266459,1,1,0,1.0,100.0%
94,70078770,1,1,0,1.0,100.0%
94,92930841,1,1,0,1.0,100.0%
94,112397033,1,1,0,1.0,100.0%
94,132692948,1,1,0,1.0,100.0%
94,172372287,1,1,0,1.0,100.0%
94,214320048,1,1,0,1.0,100.0%
94,238149845,1,1,0,1.0,100.0%
94,248691154,1,1,0,1.0,100.0%
94,249201932,1,1,0,1.0,100.0%
94,277369330,1,1,0,1.0,100.0%
94,316811139,1,1,0,1.0,100.0%
94,316952854,1,1,0,1.0,100.0%
94,328512745,1,1,0,1.0,100.0%
94,344211421,1,1,0,1.0,100.0%
94,404110442,1,1,0,1.0,100.0%
94,196108877,3,2,1,0.6667,66.67%
94,398105124,2,1,1,0.5,50.0%
94,5468051,1,0,1,0.0,0.0%
94,12369932,1,0,1,0.0,0.0%
94,18686367,1,0,1,0.0,0.0%
94,33556606,1,0,1,0.0,0.0%
94,46356233,1,0,1,0.0,0.0%
94,79705498,1,0,1,0.0,0.0%
94,80943605,1,0,1,0.0,0.0%
94,87479760,1,0,1,0.0,0.0%
94,111305012,1,0,1,0.0,0.0%
94,118677144,1,0,1,0.0,0.0%
94,119683258,1,0,1,0.0,0.0%
94,119776532,1,0,1,0.0,0.0%
94,121880968,1,0,1,0.0,0.0%
94,130758185,1,0,1,0.0,0.0%
94,131165468,1,0,1,0.0,0.0%
94,135192075,1,0,1,0.0,0.0%
94,141219723,1,0,1,0.0,0.0%
94,158449290,1,0,1,0.0,0.0%
94,161116833,1,0,1,0.0,0.0%
94,176934685,1,0,1,0.0,0.0%
94,177620891,1,0,1,0.0,0.0%
94,195975140,1,0,1,0.0,0.0%
94,198033429,1,0,1,0.0,0.0%
94,198168680,1,0,1,0.0,0.0%
94,202166530,1,0,1,0.0,0.0%
94,202257299,1,0,1,0.0,0.0%
94,225433765,1,0,1,0.0,0.0%
94,241163195,1,0,1,0.0,0.0%
94,247341785,1,0,1,0.0,0.0%
94,258197240,1,0,1,0.0,0.0%
94,262961126,1,0,1,0.0,0.0%
94,276341387,1,0,1,0.0,0.0%
94,290632289,1,0,1,0.0,0.0%
94,300870032,1,0,1,0.0,0.0%
94,322871372,1,0,1,0.0,0.0%
94,342566225,1,0,1,0.0,0.0%
94,345276360,1,0,1,0.0,0.0%
94,363355953,1,0,1,0.0,0.0%
94,365612535,1,0,1,0.0,0.0%
97,61402040,1,1,0,1.0,100.0%
97,274063999,1,0,1,0.0,0.0%
101,224086426,1,1,0,1.0,100.0%
102,176812436,1,1,0,1.0,100.0%
107,137850364,2,2,0,1.0,100.0%
107,296130361,2,2,0,1.0,100.0%
107,34776154,1,1,0,1.0,100.0%
107,44937509,1,1,0,1.0,100.0%
107,64465370,1,1,0,1.0,100.0%
107,67217442,1,1,0,1.0,100.0%
107,70400089,1,1,0,1.0,100.0%
107,137705583,1,1,0,1.0,100.0%
107,154448825,1,1,0,1.0,100.0%
107,155865365,1,1,0,1.0,100.0%
107,174899779,1,1,0,1.0,100.0%
107,204300487,1,1,0,1.0,100.0%
107,219182061,1,1,0,1.0,100.0%
107,226715968,1,1,0,1.0,100.0%
107,240104067,1,1,0,1.0,100.0%
107,283063343,1,1,0,1.0,100.0%
107,300071180,1,1,0,1.0,100.0%
107,326150621,1,1,0,1.0,100.0%
107,341985379,1,1,0,1.0,100.0%
107,358585081,1,1,0,1.0,100.0%
107,376465509,1,1,0,1.0,100.0%
107,258559448,3,1,2,0.3333,33.33%
107,397520012,3,1,2,0.3333,33.33%
107,171867933,4,1,3,0.25,25.0%
107,110047971,2,0,2,0.0,0.0%
107,232366054,2,0,2,0.0,0.0%
107,278654996,2,0,2,0.0,0.0%
107,9305053,1,0,1,0.0,0.0%
107,15640418,1,0,1,0.0,0.0%
107,18720928,1,0,1,0.0,0.0%
107,25857107,1,0,1,0.0,0.0%
107,45561659,1,0,1,0.0,0.0%
107,58803640,1,0,1,0.0,0.0%
107,85898405,1,0,1,0.0,0.0%
107,88591566,1,0,1,0.0,0.0%
107,98044677,1,0,1,0.0,0.0%
107,124799785,1,0,1,0.0,0.0%
107,137122881,1,0,1,0.0,0.0%
107,138890861,1,0,1,0.0,0.0%
107,153040778,1,0,1,0.0,0.0%
107,156470938,1,0,1,0.0,0.0%
107,202739014,1,0,1,0.0,0.0%
107,222281378,1,0,1,0.0,0.0%
107,258643496,1,0,1,0.0,0.0%
107,281966355,1,0,1,0.0,0.0%
107,310948281,1,0,1,0.0,0.0%
107,313271085,1,0,1,0.0,0.0%
107,330749783,1,0,1,0.0,0.0%
107,341784050,1,0,1,0.0,0.0%
107,370681367,1,0,1,0.0,0.0%
108,356562279,3,3,0,1.0,100.0%
108,246776010,2,2,0,1.0,100.0%
108,47226697,1,1,0,1.0,100.0%
108,132605379,1,1,0,1.0,100.0%
108,180085058,1,1,0,1.0,100.0%
108,188341939,1,1,0,1.0,100.0%
108,216372180,1,1,0,1.0,100.0%
108,222026162,1,1,0,1.0,100.0%
108,263111330,1,1,0,1.0,100.0%
108,317897063,1,1,0,1.0,100.0%
108,351019398,1,1,0,1.0,100.0%
108,380507681,1,1,0,1.0,100.0%
108,400421992,1,1,0,1.0,100.0%
108,283803435,3,2,1,0.6667,66.67%
108,30421152,2,1,1,0.5,50.0%
108,271414179,2,1,1,0.5,50.0%
108,61241992,1,0,1,0.0,0.0%
108,67740974,1,0,1,0.0,0.0%
108,188921380,1,0,1,0.0,0.0%
108,196844269,1,0,1,0.0,0.0%
108,239271364,1,0,1,0.0,0.0%
108,331207597,1,0,1,0.0,0.0%
108,337978515,1,0,1,0.0,0.0%
108,394677903,1,0,1,0.0,0.0%
110,375310208,9,9,0,1.0,100.0%
110,275549621,6,6,0,1.0,100.0%
110,184978867,5,5,0,1.0,100.0%
110,80553367,4,4,0,1.0,100.0%
110,230983926,4,4,0,1.0,100.0%
110,25520719,2,2,0,1.0,100.0%
110,98903843,2,2,0,1.0,100.0%
110,77074022,1,1,0,1.0,100.0%
110,107573590,1,1,0,1.0,100.0%
110,272985446,1,1,0,1.0,100.0%
110,281636404,1,1,0,1.0,100.0%
110,101795752,23,16,7,0.6957,69.57%
110,123515476,3,0,3,0.0,0.0%
110,102473230,2,0,2,0.0,0.0%
110,298278810,2,0,2,0.0,0.0%
110,213140324,1,0,1,0.0,0.0%
111,358173742,1,0,1,0.0,0.0%
112,16154892,1,0,1,0.0,0.0%
114,4822500,1,1,0,1.0,100.0%
114,116033399,1,1,0,1.0,100.0%
114,154776291,1,1,0,1.0,100.0%
114,234749727,1,1,0,1.0,100.0%
114,245141284,1,1,0,1.0,100.0%
114,53769987,3,0,3,0.0,0.0%
114,11149700,1,0,1,0.0,0.0%
114,22941765,1,0,1,0.0,0.0%
114,160028032,1,0,1,0.0,0.0%
114,257762113,1,0,1,0.0,0.0%
114,265820783,1,0,1,0.0,0.0%
114,284758949,1,0,1,0.0,0.0%
114,366813758,1,0,1,0.0,0.0%
114,374529388,1,0,1,0.0,0.0%
114,386553205,1,0,1,0.0,0.0%
115,4778563,1,1,0,1.0,100.0%
115,40954295,1,1,0,1.0,100.0%
115,155415055,1,1,0,1.0,100.0%
115,180083380,1,1,0,1.0,100.0%
115,265610338,1,1,0,1.0,100.0%
115,362078665,1,1,0,1.0,100.0%
115,50495509,1,0,1,0.0,0.0%
115,197128096,1,0,1,0.0,0.0%
118,55090355,2,2,0,1.0,100.0%
118,53154154,1,1,0,1.0,100.0%
118,89290858,1,1,0,1.0,100.0%
118,105432021,1,1,0,1.0,100.0%
118,110172088,1,1,0,1.0,100.0%
118,137425455,1,1,0,1.0,100.0%
118,143170832,1,1,0,1.0,100.0%
118,188440429,1,1,0,1.0,100.0%
118,236099755,1,1,0,1.0,100.0%
118,240334112,1,1,0,1.0,100.0%
118,296090232,1,1,0,1.0,100.0%
118,323697198,1,1,0,1.0,100.0%
118,159759238,2,1,1,0.5,50.0%
118,74066900,1,0,1,0.0,0.0%
118,178662387,1,0,1,0.0,0.0%
118,195417076,1,0,1,0.0,0.0%
118,200916401,1,0,1,0.0,0.0%
118,279732605,1,0,1,0.0,0.0%
118,304603265,1,0,1,0.0,0.0%
118,305674535,1,0,1,0.0,0.0%
118,376338386,1,0,1,0.0,0.0%
120,30731913,1,1,0,1.0,100.0%
120,149614483,1,1,0,1.0,100.0%
120,161662481,1,1,0,1.0,100.0%
120,215479231,1,1,0,1.0,100.0%
120,295138244,1,1,0,1.0,100.0%
120,361812765,1,1,0,1.0,100.0%
126,42944467,1,1,0,1.0,100.0%
126,49714357,1,1,0,1.0,100.0%
126,85954129,1,1,0,1.0,100.0%
126,149544233,1,1,0,1.0,100.0%
126,264239009,1,1,0,1.0,100.0%
126,332275112,2,0,2,0.0,0.0%
126,141377751,1,0,1,0.0,0.0%
126,143865657,1,0,1,0.0,0.0%
127,46035397,1,0,1,0.0,0.0%
129,389283514,1,0,1,0.0,0.0%
138,169776852,1,1,0,1.0,100.0%
138,195901415,1,1,0,1.0,100.0%
138,197677242,1,1,0,1.0,100.0%
138,291691831,2,1,1,0.5,50.0%
138,102176452,1,0,1,0.0,0.0%
138,107229992,1,0,1,0.0,0.0%
138,151120134,1,0,1,0.0,0.0%
138,223990222,1,0,1,0.0,0.0%
138,269337593,1,0,1,0.0,0.0%
138,301105227,1,0,1,0.0,0.0%
139,152194457,1,1,0,1.0,100.0%
139,269096447,1,1,0,1.0,100.0%
140,347911499,1,1,0,1.0,100.0%
145,386350096,2,2,0,1.0,100.0%
145,27096452,1,1,0,1.0,100.0%
145,34675024,1,0,1,0.0,0.0%
145,167146132,1,0,1,0.0,0.0%
145,214511672,1,0,1,0.0,0.0%
150,330999784,4,4,0,1.0,100.0%
150,138014994,2,2,0,1.0,100.0%
150,16009123,1,1,0,1.0,100.0%
150,16666252,1,1,0,1.0,100.0%
150,20650412,1,1,0,1.0,100.0%
150,21133849,1,1,0,1.0,100.0%
150,30142361,1,1,0,1.0,100.0%
150,39663018,1,1,0,1.0,100.0%
150,100271766,1,1,0,1.0,100.0%
150,103012133,1,1,0,1.0,100.0%
150,141859341,1,1,0,1.0,100.0%
150,184081436,1,1,0,1.0,100.0%
150,213357958,1,1,0,1.0,100.0%
150,233160315,1,1,0,1.0,100.0%
150,236944791,1,1,0,1.0,100.0%
150,268435153,1,1,0,1.0,100.0%
150,276316706,1,1,0,1.0,100.0%
150,296607838,1,1,0,1.0,100.0%
150,307885486,1,1,0,1.0,100.0%
150,370557305,1,1,0,1.0,100.0%
150,376813675,1,1,0,1.0,100.0%
150,395614699,1,1,0,1.0,100.0%
150,85794087,9,5,4,0.5556,55.56%
150,385466119,4,2,2,0.5,50.0%
150,55767877,7,2,5,0.2857,28.57%
150,857739,2,0,2,0.0,0.0%
150,78534023,2,0,2,0.0,0.0%
150,139943427,2,0,2,0.0,0.0%
150,155906177,2,0,2,0.0,0.0%
150,255707253,2,0,2,0.0,0.0%
150,311431106,2,0,2,0.0,0.0%
150,315063091,2,0,2,0.0,0.0%
150,315829454,2,0,2,0.0,0.0%
150,7330056,1,0,1,0.0,0.0%
150,38446842,1,0,1,0.0,0.0%
150,45212101,1,0,1,0.0,0.0%
150,53532086,1,0,1,0.0,0.0%
150,80896651,1,0,1,0.0,0.0%
150,91835682,1,0,1,0.0,0.0%
150,101990224,1,0,1,0.0,0.0%
150,134723814,1,0,1,0.0,0.0%
150,160944282,1,0,1,0.0,0.0%
150,182493574,1,0,1,0.0,0.0%
150,184077693,1,0,1,0.0,0.0%
150,191089772,1,0,1,0.0,0.0%
150,199751289,1,0,1,0.0,0.0%
150,208843421,1,0,1,0.0,0.0%
150,213294353,1,0,1,0.0,0.0%
150,257754441,1,0,1,0.0,0.0%
150,283690095,1,0,1,0.0,0.0%
150,296391661,1,0,1,0.0,0.0%
150,312288603,1,0,1,0.0,0.0%
150,316005058,1,0,1,0.0,0.0%
150,321002322,1,0,1,0.0,0.0%
150,339815415,1,0,1,0.0,0.0%
150,345723636,1,0,1,0.0,0.0%
150,371626456,1,0,1,0.0,0.0%
150,375568975,1,0,1,0.0,0.0%
150,401796360,1,0,1,0.0,0.0%
155,18442862,1,1,0,1.0,100.0%
155,64017907,1,1,0,1.0,100.0%
155,78386539,1,1,0,1.0,100.0%
155,83686646,1,1,0,1.0,100.0%
155,214110123,1,1,0,1.0,100.0%
155,349513632,1,1,0,1.0,100.0%
155,403893216,1,1,0,1.0,100.0%
155,91438050,1,0,1,0.0,0.0%
155,94923779,1,0,1,0.0,0.0%
155,96581764,1,0,1,0.0,0.0%
155,157272784,1,0,1,0.0,0.0%
157,134657967,1,1,0,1.0,100.0%
157,156110027,1,1,0,1.0,100.0%
157,183152959,1,1,0,1.0,100.0%
157,210705078,1,1,0,1.0,100.0%
157,375660703,1,1,0,1.0,100.0%
157,385164182,1,1,0,1.0,100.0%
157,193238005,1,0,1,0.0,0.0%
157,240291847,1,0,1,0.0,0.0%
157,268650381,1,0,1,0.0,0.0%
157,310739697,1,0,1,0.0,0.0%
157,346811876,1,0,1,0.0,0.0%
157,365668872,1,0,1,0.0,0.0%
158,185653039,2,2,0,1.0,100.0%
158,119306442,1,1,0,1.0,100.0%
158,271655075,1,1,0,1.0,100.0%
158,339238412,1,1,0,1.0,100.0%
158,214531574,1,0,1,0.0,0.0%
164,91673008,1,1,0,1.0,100.0%
164,133402834,1,0,1,0.0,0.0%
169,241909358,3,3,0,1.0,100.0%
169,410096,1,1,0,1.0,100.0%
169,98689741,1,1,0,1.0,100.0%
169,115308186,1,1,0,1.0,100.0%
169,175309123,1,1,0,1.0,100.0%
169,180615439,1,1,0,1.0,100.0%
169,223006124,1,1,0,1.0,100.0%
169,275863392,1,1,0,1.0,100.0%
169,284020656,1,1,0,1.0,100.0%
169,292211539,1,1,0,1.0,100.0%
169,337164959,1,1,0,1.0,100.0%
169,344200513,1,1,0,1.0,100.0%
169,349350662,1,1,0,1.0,100.0%
169,353466697,1,1,0,1.0,100.0%
169,364421377,1,1,0,1.0,100.0%
169,396146006,1,1,0,1.0,100.0%
169,404370836,1,1,0,1.0,100.0%
169,20855302,1,0,1,0.0,0.0%
169,34895861,1,0,1,0.0,0.0%
169,45214287,1,0,1,0.0,0.0%
169,273504884,1,0,1,0.0,0.0%
169,289707899,1,0,1,0.0,0.0%
169,313889005,1,0,1,0.0,0.0%
170,285684963,1,1,0,1.0,100.0%
172,188565187,2,2,0,1.0,100.0%
172,295361294,1,1,0,1.0,100.0%
176,100607726,1,1,0,1.0,100.0%
176,29293313,1,0,1,0.0,0.0%
192,289179513,2,2,0,1.0,100.0%
192,47172916,1,1,0,1.0,100.0%
192,57767856,1,1,0,1.0,100.0%
192,60578344,1,1,0,1.0,100.0%
192,245620531,1,1,0,1.0,100.0%
192,296006729,1,1,0,1.0,100.0%
192,328518198,1,1,0,1.0,100.0%
192,396491326,1,1,0,1.0,100.0%
192,6139194,1,0,1,0.0,0.0%
192,98227095,1,0,1,0.0,0.0%
192,253851494,1,0,1,0.0,0.0%
194,248922760,1,0,1,0.0,0.0%
198,29657299,2,2,0,1.0,100.0%
198,272571680,2,2,0,1.0,100.0%
198,14420802,1,1,0,1.0,100.0%
198,22653417,1,1,0,1.0,100.0%
198,27873066,1,1,0,1.0,100.0%
198,36966787,1,1,0,1.0,100.0%
198,55641117,1,1,0,1.0,100.0%
198,62468694,1,1,0,1.0,100.0%
198,119494784,1,1,0,1.0,100.0%
198,147203547,1,1,0,1.0,100.0%
198,149418779,1,1,0,1.0,100.0%
198,157439036,1,1,0,1.0,100.0%
198,157994244,1,1,0,1.0,100.0%
198,166294044,1,1,0,1.0,100.0%
198,173663812,1,1,0,1.0,100.0%
198,179970015,1,1,0,1.0,100.0%
198,187947666,1,1,0,1.0,100.0%
198,202156310,1,1,0,1.0,100.0%
198,209410779,1,1,0,1.0,100.0%
198,214086571,1,1,0,1.0,100.0%
198,220411769,1,1,0,1.0,100.0%
198,221588579,1,1,0,1.0,100.0%
198,234904930,1,1,0,1.0,100.0%
198,248860365,1,1,0,1.0,100.0%
198,250733430,1,1,0,1.0,100.0%
198,256450984,1,1,0,1.0,100.0%
198,268608678,1,1,0,1.0,100.0%
198,277284179,1,1,0,1.0,100.0%
198,278609134,1,1,0,1.0,100.0%
198,306984795,1,1,0,1.0,100.0%
198,316841416,1,1,0,1.0,100.0%
198,332350526,1,1,0,1.0,100.0%
198,335902279,1,1,0,1.0,100.0%
198,367311168,1,1,0,1.0,100.0%
198,377262716,1,1,0,1.0,100.0%
198,377844245,1,1,0,1.0,100.0%
198,381270113,1,1,0,1.0,100.0%
198,266668346,3,2,1,0.6667,66.67%
198,17249601,1,0,1,0.0,0.0%
198,24406369,1,0,1,0.0,0.0%
198,50507359,1,0,1,0.0,0.0%
198,50905963,1,0,1,0.0,0.0%
198,88338180,1,0,1,0.0,0.0%
198,119892085,1,0,1,0.0,0.0%
198,130586940,1,0,1,0.0,0.0%
198,132942422,1,0,1,0.0,0.0%
198,155108258,1,0,1,0.0,0.0%
198,173262504,1,0,1,0.0,0.0%
198,177267069,1,0,1,0.0,0.0%
198,177899248,1,0,1,0.0,0.0%
198,186879299,1,0,1,0.0,0.0%
198,209127702,1,0,1,0.0,0.0%
198,210945131,1,0,1,0.0,0.0%
198,226687126,1,0,1,0.0,0.0%
198,230077237,1,0,1,0.0,0.0%
198,232701850,1,0,1,0.0,0.0%
198,241227307,1,0,1,0.0,0.0%
198,261906100,1,0,1,0.0,0.0%
198,278216611,1,0,1,0.0,0.0%
198,331605718,1,0,1,0.0,0.0%
198,368739878,1,0,1,0.0,0.0%
198,371370712,1,0,1,0.0,0.0%
198,393938250,1,0,1,0.0,0.0%
198,399262120,1,0,1,0.0,0.0%
201,82771857,1,1,0,1.0,100.0%
201,225798874,1,0,1,0.0,0.0%
202,214996730,1,1,0,1.0,100.0%
205,1126701,1,1,0,1.0,100.0%
205,17909504,1,1,0,1.0,100.0%
205,54144405,1,1,0,1.0,100.0%
205,90516683,1,1,0,1.0,100.0%
205,117698057,1,1,0,1.0,100.0%
205,183756756,1,1,0,1.0,100.0%
205,216362128,1,1,0,1.0,100.0%
205,241870989,1,1,0,1.0,100.0%
205,275472416,1,1,0,1.0,100.0%
205,345426656,1,1,0,1.0,100.0%
205,230139186,2,1,1,0.5,50.0%
205,84239787,2,0,2,0.0,0.0%
205,217501092,2,0,2,0.0,0.0%
205,19584432,1,0,1,0.0,0.0%
205,93414804,1,0,1,0.0,0.0%
205,98488565,1,0,1,0.0,0.0%
205,101541993,1,0,1,0.0,0.0%
205,103963332,1,0,1,0.0,0.0%
205,114883359,1,0,1,0.0,0.0%
205,138458096,1,0,1,0.0,0.0%
205,154238963,1,0,1,0.0,0.0%
205,203564169,1,0,1,0.0,0.0%
205,203639870,1,0,1,0.0,0.0%
205,208355432,1,0,1,0.0,0.0%
205,249179476,1,0,1,0.0,0.0%
205,265998266,1,0,1,0.0,0.0%
205,282910176,1,0,1,0.0,0.0%
205,303954916,1,0,1,0.0,0.0%
205,304464705,1,0,1,0.0,0.0%
205,322123892,1,0,1,0.0,0.0%
205,326059513,1,0,1,0.0,0.0%
205,339163471,1,0,1,0.0,0.0%
205,360335586,1,0,1,0.0,0.0%
206,153314413,1,1,0,1.0,100.0%
215,67489911,1,1,0,1.0,100.0%
215,70860880,1,1,0,1.0,100.0%
215,82204914,1,1,0,1.0,100.0%
215,124442831,1,1,0,1.0,100.0%
215,157598115,1,1,0,1.0,100.0%
215,159251450,1,1,0,1.0,100.0%
215,173150513,1,1,0,1.0,100.0%
215,181415042,1,1,0,1.0,100.0%
215,227418644,1,1,0,1.0,100.0%
215,242113500,1,1,0,1.0,100.0%
215,258684574,1,1,0,1.0,100.0%
215,356800063,1,1,0,1.0,100.0%
215,394922263,1,1,0,1.0,100.0%
215,247870151,3,0,3,0.0,0.0%
215,380166904,3,0,3,0.0,0.0%
215,31239505,2,0,2,0.0,0.0%
215,63062446,2,0,2,0.0,0.0%
215,192238641,2,0,2,0.0,0.0%
215,386037379,2,0,2,0.0,0.0%
215,21582793,1,0,1,0.0,0.0%
215,32789867,1,0,1,0.0,0.0%
215,40652326,1,0,1,0.0,0.0%
215,71853408,1,0,1,0.0,0.0%
215,76392548,1,0,1,0.0,0.0%
215,152099813,1,0,1,0.0,0.0%
215,186948698,1,0,1,0.0,0.0%
215,195800294,1,0,1,0.0,0.0%
215,244319659,1,0,1,0.0,0.0%
215,244538377,1,0,1,0.0,0.0%
215,278046362,1,0,1,0.0,0.0%
215,306225108,1,0,1,0.0,0.0%
215,317358778,1,0,1,0.0,0.0%
215,371047875,1,0,1,0.0,0.0%
215,389616466,1,0,1,0.0,0.0%
219,41219828,1,1,0,1.0,100.0%
219,47098978,1,1,0,1.0,100.0%
219,223049527,1,1,0,1.0,100.0%
219,299425831,1,1,0,1.0,100.0%
219,338873276,1,1,0,1.0,100.0%
219,363353103,1,1,0,1.0,100.0%
219,389122694,1,1,0,1.0,100.0%
219,71466917,1,0,1,0.0,0.0%
219,132944387,1,0,1,0.0,0.0%
219,168194833,1,0,1,0.0,0.0%
219,301649316,1,0,1,0.0,0.0%
220,10038009,3,3,0,1.0,100.0%
220,21144831,2,2,0,1.0,100.0%
220,163701001,2,2,0,1.0,100.0%
220,174991213,2,2,0,1.0,100.0%
220,366001873,2,2,0,1.0,100.0%
220,17079160,1,1,0,1.0,100.0%
220,50898615,1,1,0,1.0,100.0%
220,54767954,1,1,0,1.0,100.0%
220,82677674,1,1,0,1.0,100.0%
220,127515845,1,1,0,1.0,100.0%
220,138071296,1,1,0,1.0,100.0%
220,141884219,1,1,0,1.0,100.0%
220,155595706,1,1,0,1.0,100.0%
220,162906868,1,1,0,1.0,100.0%
220,184358907,1,1,0,1.0,100.0%
220,246723429,1,1,0,1.0,100.0%
220,254137919,1,1,0,1.0,100.0%
220,257198320,1,1,0,1.0,100.0%
220,288698291,1,1,0,1.0,100.0%
220,288764645,1,1,0,1.0,100.0%
220,61035090,3,2,1,0.6667,66.67%
220,259078676,3,2,1,0.6667,66.67%
220,23378093,2,1,1,0.5,50.0%
220,332023221,2,1,1,0.5,50.0%
220,49665685,2,0,2,0.0,0.0%
220,288684823,2,0,2,0.0,0.0%
220,51366693,1,0,1,0.0,0.0%
